iteration,current_return,best_return_so_far,gap_to_best
1,-57.46134788403731,-57.46134788403731,0.0
2,-12.475661120713834,-12.475661120713834,0.0
3,-12.586767482564108,-12.475661120713834,0.11110636185027367
4,-11.464989011936286,-11.464989011936286,0.0
5,-10.83960033635733,-10.83960033635733,0.0
6,-11.374505812475288,-10.83960033635733,0.5349054761179577
7,-11.875836132007985,-10.83960033635733,1.0362357956506543
8,-11.451849853356109,-10.83960033635733,0.6122495169987783
9,-11.484327078223973,-10.83960033635733,0.6447267418666431
10,-10.830136313696295,-10.830136313696295,0.0
11,-10.431787886886145,-10.431787886886145,0.0
