time_end_s,T_zone_used_C,ahu_sat_sp_C,zone_temp_sp_C,T_zone_C,T_outdoor_C,T_ahu_supply_C,ahu_sat_sp_read_C,P_cooling_W,P_ahu_heating_W,P_reheat_W,P_supply_fan_W,P_return_fan_W,P_HVAC_W,E_HVAC_kWh_step
15812100,,12.8,24.0,23.99985155745296,29.175,12.80093308407607,12.8,39.10803673023098,0.0,43.62101824069245,36.68890896024713,52.58743617635421,172.00540010752476,0.04300135002688119
15813000,23.99985155745296,18.0,24.0,23.99978724673096,28.35,17.75319245562562,18.0,30.21479239212375,0.0,0.0,37.18166482782576,53.29371958655025,120.69017680649976,0.03017254420162494
15813900,23.99978724673096,18.0,24.0,24.0351587476188,27.525,18.24568447952329,18.0,28.36385594567999,0.0,0.0,36.68890896024713,52.58743617635421,117.64020108228132,0.02941005027057033
15814800,24.0351587476188,12.8,24.0,24.00238336761176,26.7,12.80294418141676,12.8,36.29358527928426,0.0,47.22083506102697,36.68890896024713,52.58743617635421,172.79076547691258,0.043197691369228144
15815700,24.00238336761176,12.8,24.0,24.00016691277464,26.275,12.80013974584023,12.8,35.83580935700699,0.0,53.94869694302271,36.68890896024713,52.58743617635421,179.06085143663105,0.044765212859157764
15816600,24.00016691277464,12.8,24.0,24.00001830245175,25.85,12.80017447893904,12.8,35.36477089370948,0.0,54.43934239641025,36.68890896024713,52.58743617635421,179.08045842672107,0.04477011460668027
15817500,24.00001830245175,12.8,24.0,24.00004402138817,25.425,12.800208583173,12.8,34.88420398667031,0.0,56.94456724814268,36.68890896024713,52.58743617635421,181.1051163714143,0.045276279092853575
15818400,24.00004402138817,12.8,24.0,24.00007666777875,25.0,12.80022637895292,12.8,34.40222333603263,0.0,59.09185076294531,36.68890896024713,52.58743617635421,182.77041923557928,0.045692604808894824
15819300,24.00007666777875,12.8,24.0,24.00009914919677,24.85,12.8001628892064,12.8,34.19693727597464,0.0,60.60399124804019,36.68890896024713,52.58743617635421,184.07727366061616,0.04601931841515404
15820200,24.00009914919677,12.8,24.0,24.00011882519161,24.7,12.80017092773386,12.8,33.98952677237862,0.0,62.03554170774298,36.68890896024713,52.58743617635421,185.30141361672295,0.04632535340418074
15821100,24.00011882519161,12.8,24.0,24.00013638009514,24.55,12.80017621802677,12.8,33.78141399822093,0.0,63.39626451199032,36.68890896024713,52.58743617635421,186.4540236468126,0.04661350591170316
