iteration,current_return,best_return_so_far,gap_to_best
1,-5.042311184227517,-5.042311184227517,0.0
2,-4.319306696443655,-4.319306696443655,0.0
3,-3.8466775079908198,-3.8466775079908198,0.0
4,-3.9978846760691527,-3.8466775079908198,0.1512071680783329
5,-3.7020794732569846,-3.7020794732569846,0.0
6,-3.806015187477222,-3.7020794732569846,0.10393571422023751
7,-3.7046988788035526,-3.7020794732569846,0.002619405546568032
8,-3.5532322408461345,-3.5532322408461345,0.0
9,-3.5901741749877614,-3.5532322408461345,0.03694193414162683
10,-3.589866000788605,-3.5532322408461345,0.03663375994247042
11,-4.045911815745348,-3.5532322408461345,0.49267957489921343
