iteration,current_return,best_return_so_far,gap_to_best
1,-5.524329740530956,-5.524329740530956,0.0
2,-4.771644948932006,-4.771644948932006,0.0
3,-4.783703047383769,-4.771644948932006,0.012058098451762866
4,-5.415124266377579,-4.771644948932006,0.6434793174455731
5,-4.5300792878749405,-4.5300792878749405,0.0
6,-4.226637741427796,-4.226637741427796,0.0
7,-4.108036129311901,-4.108036129311901,0.0
8,-4.165105113803892,-4.108036129311901,0.05706898449199116
9,-4.143165087607541,-4.108036129311901,0.035128958295640444
10,-4.113697784446976,-4.108036129311901,0.005661655135074994
11,-4.059216275194133,-4.059216275194133,0.0
