iteration,current_return,best_return_so_far,gap_to_best
1,-4.056630228843355,-4.056630228843355,0.0
2,-4.575086273926099,-4.056630228843355,0.5184560450827442
3,-3.786290461524806,-3.786290461524806,0.0
4,-3.876385813898067,-3.786290461524806,0.09009535237326105
5,-3.7612332369430006,-3.7612332369430006,0.0
6,-3.8931943067789,-3.7612332369430006,0.13196106983589928
7,-5.595488428864306,-3.7612332369430006,1.8342551919213057
8,-4.197906650038242,-3.7612332369430006,0.436673413095241
9,-3.909382046542,-3.7612332369430006,0.14814880959899934
10,-3.890906381119604,-3.7612332369430006,0.12967314417660347
11,-3.852047723612393,-3.7612332369430006,0.09081448666939229
