iteration,current_return,best_return_so_far,gap_to_best
1,-58.3905739384449,-58.3905739384449,0.0
2,-10.759570104815989,-10.759570104815989,0.0
3,-10.851911456823709,-10.759570104815989,0.09234135200772009
4,-10.163970873127653,-10.163970873127653,0.0
5,-11.374208741979404,-10.163970873127653,1.2102378688517508
6,-12.2855867421461,-10.163970873127653,2.121615869018447
7,-11.592566186003907,-10.163970873127653,1.4285953128762543
8,-11.742617744396522,-10.163970873127653,1.5786468712688695
9,-12.098864586453384,-10.163970873127653,1.9348937133257316
10,-11.51052535911441,-10.163970873127653,1.3465544859867578
11,-10.858391245387306,-10.163970873127653,0.6944203722596534
