iteration,current_return,best_return_so_far,gap_to_best
1,-13.427735425153653,-13.427735425153653,0.0
2,-14.212658168947534,-13.427735425153653,0.7849227437938815
3,-14.214429651587572,-13.427735425153653,0.7866942264339194
4,-20.32316910790626,-13.427735425153653,6.895433682752607
5,-14.213681799949034,-13.427735425153653,0.7859463747953814
6,-52.92368155762119,-13.427735425153653,39.49594613246754
7,-14.221935407363874,-13.427735425153653,0.7941999822102215
8,-14.213888068157315,-13.427735425153653,0.7861526430036623
9,-14.220137463538423,-13.427735425153653,0.7924020383847701
10,-14.214346210331147,-13.427735425153653,0.7866107851774942
11,-14.222668515408891,-13.427735425153653,0.7949330902552383
