iteration,current_return,best_return_so_far,gap_to_best
1,-89.09883197175327,-89.09883197175327,0.0
2,-96.0205503422812,-89.09883197175327,6.921718370527927
3,-96.03124868253353,-89.09883197175327,6.9324167107802595
4,-96.00003465991372,-89.09883197175327,6.901202688160453
5,-45.91695532695842,-45.91695532695842,0.0
6,-14.22297144071377,-14.22297144071377,0.0
7,-14.216627149615972,-14.216627149615972,0.0
8,-14.227781445625402,-14.216627149615972,0.011154296009429743
9,-14.228670942331306,-14.216627149615972,0.012043792715333623
10,-14.225147615374393,-14.216627149615972,0.008520465758421025
11,-14.230231955252194,-14.216627149615972,0.013604805636221684
