iteration,current_return,best_return_so_far,gap_to_best
1,-89.10383719494384,-89.10383719494384,0.0
2,-96.0175634669973,-89.10383719494384,6.9137262720534665
3,-96.00664867563526,-89.10383719494384,6.902811480691426
4,-96.01509020426369,-89.10383719494384,6.91125300931985
5,-96.00787156112985,-89.10383719494384,6.904034366186011
6,-96.00248696146889,-89.10383719494384,6.898649766525054
7,-96.0256846906829,-89.10383719494384,6.921847495739058
8,-96.00734236060136,-89.10383719494384,6.903505165657521
9,-96.01678900254043,-89.10383719494384,6.912951807596599
10,-96.00421247814302,-89.10383719494384,6.900375283199182
11,-95.9968267448984,-89.10383719494384,6.892989549954564
