time_hour_start,T_env_start,T_zone_start,SAT_sp,ZAT_sp,integral_error_start,prev_zat_sp_start,damper_signal_prev_start,T_out_used,T_cor_used,Qsg_used,Qint_used,T_env_end,T_zone_end
17664.0,20.0,24.0,14.5,23.0,0.0,,0.0,18.0,24.0,0.0,50.0,20.27827262878418,21.658294677734375
17664.5,20.27827262878418,21.658294677734375,14.5,23.0,299.7857937953274,23.0,0.0,19.0,24.0,0.0,50.0,20.441085815429688,21.6232852935791
17665.0,20.441085815429688,21.6232852935791,14.5,23.0,299.7857937953274,23.0,0.0,20.0,24.0,0.0,50.0,20.60335922241211,21.698261260986328
17665.5,20.60335922241211,21.698261260986328,14.5,23.0,299.7857937953274,23.0,0.0,21.3,24.0,0.0,50.0,20.775951385498047,21.78291893005371
17666.0,20.775951385498047,21.78291893005371,14.5,23.0,299.7857937953274,23.0,0.0,21.0,24.0,0.0,50.0,20.92697525024414,21.86205291748047
17666.5,20.92697525024414,21.86205291748047,14.5,23.0,299.7857937953274,23.0,0.0,20.7,24.0,0.0,50.0,21.058626174926758,21.93140983581543
17667.0,21.058626174926758,21.93140983581543,14.5,23.0,299.7857937953274,23.0,0.0,20.5,24.0,0.0,50.0,21.174602508544922,21.9923095703125
17667.5,21.174602508544922,21.9923095703125,14.5,23.0,299.7857937953274,23.0,0.0,20.4,24.0,0.0,50.0,21.278244018554688,22.04645347595215
17668.0,21.278244018554688,22.04645347595215,14.5,23.0,299.7857937953274,23.0,0.0,20.4,24.0,0.0,50.0,21.37259292602539,22.095417022705078
17668.5,21.37259292602539,22.095417022705078,14.5,23.0,299.7857937953274,23.0,0.0,20.5,24.0,0.0,50.0,21.460411071777344,22.140634536743164
17669.0,21.460411071777344,22.140634536743164,14.5,23.0,299.7857937953274,23.0,0.0,21.1,24.0,1.815,50.0,21.55252456665039,22.18848991394043
17669.5,21.55252456665039,22.18848991394043,14.5,23.0,299.7857937953274,23.0,0.0,21.7,24.0,55.72619567,50.0,21.663410186767578,22.3072566986084
17670.0,21.663410186767578,22.3072566986084,14.5,23.0,299.7857937953274,23.0,0.0,22.4,24.0,22.77,50.0,21.771333694458008,22.325145721435547
17670.5,21.771333694458008,22.325145721435547,14.5000670658563,22.999260556153207,299.7857937953274,23.0,0.0,23.0,24.0,117.7942964,50.0,21.90658950805664,22.502840042114258
17671.0,21.90658950805664,22.502840042114258,14.500078717646462,22.998767799947093,299.7857937953274,22.999260556153207,0.0,24.0,24.0,65.67801958,50.0,22.039154052734375,22.512157440185547
17671.5,22.039154052734375,22.512157440185547,14.500042979464785,22.996735579791356,299.7857937953274,22.998767799947093,0.0,25.0,24.0,177.4316214,180.0,22.230152130126953,22.949077606201172
17672.0,22.230152130126953,22.949077606201172,14.50003460217212,22.995561997739774,69.99273445737938,22.996735579791356,0.7043507902493995,26.0,24.0,129.2898191,180.0,22.42626190185547,23.012964248657227
17672.5,22.42626190185547,23.012964248657227,14.469504416158815,23.272948008620848,20.522719268859262,22.995561997739774,0.4364728612690202,27.0,24.0,333.23752,180.0,22.685691833496094,23.42243766784668
17673.0,22.685691833496094,23.42243766784668,14.450906752755204,23.39392543997435,94.84507155379337,23.272948008620848,2.994662821093694,27.6,24.0,329.361975,180.0,22.94377326965332,23.54764175415039
17673.5,22.94377326965332,23.54764175415039,14.42674634263699,23.508437401830157,254.93604384800364,23.39392543997435,6.353930881949012,28.3,24.0,502.1707031,180.0,23.237266540527344,23.84206199645996
17674.0,23.237266540527344,23.84206199645996,14.39091494027782,23.403962092710223,645.6030723879882,23.508437401830157,15.811010245582848,28.7,24.0,518.8843589,180.0,23.505102157592773,23.80533790588379
17674.5,23.505102157592773,23.80533790588379,14.332655676442787,23.689994577791214,1423.7506395135451,23.403962092710223,32.19651710298352,29.2,24.0,632.8191194,180.0,23.771068572998047,23.977785110473633
17675.0,23.771068572998047,23.977785110473633,14.441117273172077,23.67554083631388,1822.7690086326397,23.689994577791214,38.99577203477064,29.4,24.0,649.8086212,180.0,24.01030731201172,23.988094329833984
17675.5,24.01030731201172,23.988094329833984,14.406155066285232,23.71227710123159,2394.712255010353,23.67554083631388,50.75791776188789,29.6,24.0,701.6350699,180.0,24.2263240814209,24.011844635009766
17676.0,24.2263240814209,24.011844635009766,14.388275010570876,23.865296445334124,2936.3474084407117,23.71227710123159,61.475776177068866,29.7,24.0,703.0527701,180.0,24.41141128540039,24.032291412353516
17676.5,24.41141128540039,24.032291412353516,14.406398977437382,24.02001604529451,3219.5121785456313,23.865296445334124,65.87909603929161,29.8,24.0,493.4677368,180.0,24.518796920776367,23.88368797302246
17677.0,24.518796920776367,23.88368797302246,14.454157066795744,23.825245437514738,3026.6059484757357,24.02001604529451,59.204250694151156,29.7,24.0,89.94650763,180.0,24.49610137939453,23.466415405273438
17677.5,24.49610137939453,23.466415405273438,14.465098430694358,23.74884095690746,2607.9178524379963,23.825245437514738,48.88229502005547,29.6,24.0,180.2523886,180.0,24.493337631225586,23.645709991455078
17678.0,24.493337631225586,23.645709991455078,14.421501721603656,23.813454502434535,2273.09957060912,23.74884095690746,44.39717926471795,29.4,24.0,474.8740792,180.0,24.58281707763672,24.038654327392578
17678.5,24.58281707763672,24.038654327392578,14.368191700660546,23.93615114183474,2426.463208235317,23.813454502434535,50.490680959128426,29.1,24.0,426.4738543,180.0,24.6546630859375,23.997304916381836
17679.0,24.6546630859375,23.997304916381836,14.353632631180218,23.890431188167092,2564.079447969528,23.93615114183474,51.84342183663345,28.7,24.0,424.6044764,180.0,24.703346252441406,23.969058990478516
17679.5,24.703346252441406,23.969058990478516,14.421857559935496,24.246989967875383,2732.531356844644,23.890431188167092,55.39087834705681,28.3,24.0,269.3540575,180.0,24.703983306884766,23.94915199279785
17680.0,24.703983306884766,23.94915199279785,14.43929826259476,24.17360657449172,2146.008900751067,24.246989967875383,40.049168681837074,27.7,24.0,221.8666509,180.0,24.691532135009766,23.994577407836914
17680.5,24.691532135009766,23.994577407836914,14.47038783660873,24.07988929977307,1754.7226195359187,24.17360657449172,33.35222655293202,27.1,24.0,126.7057476,180.0,24.651111602783203,23.927104949951172
17681.0,24.651111602783203,23.927104949951172,14.490194242996715,23.966623092200265,1504.3819383007044,24.07988929977307,28.665603691154868,26.2,24.0,96.50280202,180.0,24.59005355834961,23.886768341064453
17681.5,24.59005355834961,23.886768341064453,14.490284520899051,23.96600510969342,1385.976226266158,23.966623092200265,27.004815624780917,25.4,24.0,53.955,50.0,24.48875617980957,23.64776611328125
17682.0,24.48875617980957,23.64776611328125,14.490284520899051,23.96600510969342,943.1128070812454,23.96600510969342,15.9625223675888,25.4,24.0,38.445,50.0,24.397979736328125,23.711467742919922
17682.5,24.397979736328125,23.711467742919922,14.490284520899051,23.96600510969342,404.16137267769324,23.96600510969342,5.656062508113687,23.0,24.0,24.09,50.0,24.283700942993164,23.779266357421875
17683.0,24.283700942993164,23.779266357421875,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,21.7,24.0,11.385,50.0,24.161869049072266,23.725147247314453
17683.5,24.161869049072266,23.725147247314453,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,20.4,24.0,14.70273145,50.0,24.027023315429688,23.66396141052246
17684.0,24.027023315429688,23.66396141052246,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,19.3,24.0,0.0,50.0,23.879077911376953,23.574127197265625
17684.5,23.879077911376953,23.574127197265625,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,18.2,24.0,0.0,50.0,23.722415924072266,23.4959716796875
17685.0,23.722415924072266,23.4959716796875,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,17.3,24.0,0.0,50.0,23.56244659423828,23.416200637817383
17685.5,23.56244659423828,23.416200637817383,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,16.4,24.0,0.0,50.0,23.39946746826172,23.334877014160156
17686.0,23.39946746826172,23.334877014160156,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,15.8,24.0,0.0,50.0,23.239593505859375,23.254140853881836
17686.5,23.239593505859375,23.254140853881836,14.490284520899051,23.96600510969342,112.60701534641903,23.96600510969342,0.0,15.2,24.0,0.0,50.0,23.082500457763672,23.17479705810547
