parameter,generic_value,identified_value
C_env,3621417.0,3199602.7983013764
C_air,395335.4,351870.06476050126
R_rc,0.007260759,0.007059998911400862
R_oe,0.03000755,0.02706996024292636
R_er,0.004009136,0.003689998198957633
