iteration,current_return,best_return_so_far,gap_to_best
1,-4.9676571598221,-4.9676571598221,0.0
2,-4.688654642605253,-4.688654642605253,0.0
3,-4.062689308389465,-4.062689308389465,0.0
4,-5.3166114202809,-4.062689308389465,1.253922111891435
5,-3.592372830232855,-3.592372830232855,0.0
6,-4.035656377040233,-3.592372830232855,0.44328354680737814
7,-3.830071192006273,-3.592372830232855,0.23769836177341785
8,-3.871408602832766,-3.592372830232855,0.2790357725999111
9,-3.8446576201152856,-3.592372830232855,0.2522847898824305
10,-3.676863940139875,-3.592372830232855,0.0844911099070198
11,-3.6874707663441897,-3.592372830232855,0.09509793611133466
