time_hour,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message
1.5,20.297743726664986,21.664987304489486,19.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0009588149168373662,0.05752889501024197,0.05752889501024197,0.0,0.0,0.0,True,False,0.009197790997859556,1,13,0.008288181756479572,Optimization terminated successfully
2.0,20.458654560516734,21.63223443879832,19.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0015558807856652919,0.09335284713991751,0.15088174215015948,0.0,0.0,0.0,True,False,0.008475624999846332,1,13,0.008657322684572614,Optimization terminated successfully
2.5,20.59986962495487,21.69985226366435,19.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.001526925440970575,0.09161552645823451,0.242497268608394,0.0,0.0,0.0,True,False,0.008178374999260996,1,13,0.00839295326813153,Optimization terminated successfully
3.0,20.72814274467929,21.766123396082055,19.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0014652551139603422,0.08791530683762053,0.33041257544601454,0.0,0.0,0.0,True,False,0.008231874999182764,1,13,0.008124371112652504,Optimization terminated successfully
3.5,20.82540737944759,21.81997773004438,18.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0014132481019937756,0.08479488611962653,0.4152074615656411,0.0,0.0,0.0,True,False,0.008207041999412468,1,13,0.007845020428696932,Optimization terminated successfully
4.0,20.914087101453358,21.866147355533716,18.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0013680580183412755,0.08208348110047653,0.4972909426661176,0.0,0.0,0.0,True,False,0.008152292000886519,1,13,0.007543270745937905,Optimization terminated successfully
4.5,20.994807528011258,21.90803108069498,18.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0013279589428783236,0.07967753657269941,0.576968479238817,0.0,0.0,0.0,True,False,0.008121417002257658,1,13,0.0072106284807244595,Optimization terminated successfully
5.0,21.068276700797895,21.94614552274954,18.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0012915115676513662,0.07749069405908197,0.6544591732978989,0.0,0.0,0.0,True,False,0.008254459000454517,1,13,0.006834543850372137,Optimization terminated successfully
5.5,21.135143472815777,21.980834330899473,18.0,0.0,50.0,14.5,23.0,15.0,28.0,-0.0012583427234978879,0.07550056340987327,0.7299597367077721,0.0,0.0,0.0,True,False,0.008177499999874271,1,13,0.006266680600449309,Optimization terminated successfully
6.0,21.229832284551577,22.085692936600097,19.0,50.38504893,50.0,14.5,23.0,15.0,28.0,-0.0011859027651763057,0.07115416591057834,0.8011139026183505,0.0,0.0,0.0,True,False,0.008156708001479274,1,13,0.005529714374650515,Optimization terminated successfully
6.5,21.339289901675645,22.147098178479006,20.0,54.92165378,50.0,14.5,23.0,15.0,28.0,-0.0011114976687960987,0.06668986012776593,0.8678037627461164,0.0,0.0,0.0,True,False,0.008118041998386616,1,13,0.004710899272777602,Optimization terminated successfully
7.0,21.46498627148161,22.23545269441151,21.0,77.3528063,50.0,14.5,23.0,22.0,24.0,-0.0010354156597047574,0.062124939582285446,0.9299287023284019,0.0,0.0,0.0,True,False,0.008038666997890687,1,13,0.003885104751432412,Optimization terminated successfully
7.5,21.587510259217655,22.329302629555436,21.0,102.1972259,50.0,14.5,23.0,22.0,24.0,-0.0009518763265231855,0.05711257959139113,0.987041281919793,0.0,0.0,0.0,True,False,0.007988125002157176,1,13,0.0031535843557429395,Optimization terminated successfully
8.0,21.751550144948062,22.668558105673732,22.0,130.8840609,180.0,14.5,23.0,22.0,24.0,-0.0007236454778279682,0.043418728669678094,1.030460010589471,0.0,0.0,0.0,True,False,0.007668457998079248,1,13,0.0025777358117074207,Optimization terminated successfully
8.5,21.924936934615527,22.82326415792241,22.0,175.2357319,180.0,14.5,23.0,22.0,24.0,-0.0005213768755863223,0.03128261253517934,1.0617426231246503,0.0,0.0,0.0,True,False,0.007853541999793379,1,13,0.002336722643999748,Optimization terminated successfully
9.0,22.1218867246464,22.99124983582682,23.0,234.9287732,180.0,14.5,23.0,22.0,24.0,-0.0003670867342267797,0.022025204053606782,1.0837678271782571,0.0,0.0,0.0,True,False,0.007313499998417683,1,13,0.0024575237414129654,Optimization terminated successfully
9.5,22.32619748690049,23.100127924066175,24.0,246.5404293,180.0,14.5,23.0,22.0,24.0,-0.00028570439754206536,0.01714226385252392,1.100910091030781,0.0,0.0,0.0,True,False,0.0070551670032728,1,13,0.00295696973436549,Optimization terminated successfully
10.0,22.523885859183483,23.14003260102529,25.0,230.3998452,180.0,14.5,23.0,22.0,24.0,-0.00030389406440170416,0.01823364386410225,1.1191437348948832,0.0,0.0,0.0,True,False,0.007292166999832261,1,13,0.003913502696886204,Optimization terminated successfully
10.5,22.732533712944534,23.318017212016745,25.0,365.1341169,180.0,14.5,23.0,22.0,24.0,-0.0003760288504337532,0.02256173102602519,1.1417054659209083,0.0,0.0,0.0,True,False,0.007118749999790452,1,13,0.005196731167600658,Optimization terminated successfully
11.0,22.9425680128493,23.332437955252207,26.0,404.9134791,180.0,14.5,23.0,22.0,24.0,-0.00048263269957772164,0.0289579619746633,1.1706634278955717,0.0,0.0,0.0,True,False,0.007162249999964843,1,13,0.006689540134904885,Optimization terminated successfully
11.5,23.129491174270164,23.338557311580733,26.0,460.3731315,180.0,14.5,23.0,22.0,24.0,-0.000642177256843026,0.038530635410581555,1.2091940633061533,0.0,0.0,0.0,True,False,0.0072624170024937484,1,13,0.008078610536947958,Optimization terminated successfully
12.0,23.365487802087024,23.53726107520011,27.0,702.1567111,180.0,14.5,23.0,22.0,24.0,-0.0008665322082639831,0.051991932495838986,1.2611859958019922,0.0,0.0,0.0,True,False,0.00730091700097546,1,13,0.00930678011707836,Optimization terminated successfully
12.5,23.561173993467186,23.42725464894773,27.0,708.9983248,180.0,14.5,23.0,22.0,24.0,-0.0012422356028014103,0.07453413616808462,1.3357201319700769,0.0,0.0,0.0,True,False,0.007353458000579849,1,13,0.010297288810869309,Optimization terminated successfully
13.0,23.706465748409897,23.30990210548787,27.0,696.1013775,180.0,14.5,23.0,22.0,24.0,-0.0015871222977398875,0.09522733786439325,1.4309474698344702,0.0,0.0,0.0,True,False,0.007295874998817453,1,13,0.010902199859408851,Optimization terminated successfully
13.5,23.814142017529406,23.236181482023078,27.0,688.955698,180.0,14.5,23.0,22.0,24.0,-0.0018688406772897196,0.11213044063738317,1.5430779104718533,0.0,0.0,0.0,True,False,0.007310000000870787,1,13,0.011049741278404895,Optimization terminated successfully
14.0,23.90196584291022,23.176228151716955,28.0,620.702988,180.0,14.5,23.0,22.0,24.0,-0.0018717038176747109,0.11230222906048265,1.655380139532336,0.0,0.0,0.0,True,False,0.007350249998125946,1,13,0.010772220989357957,Optimization terminated successfully
14.5,23.96881801030133,23.171501975401334,28.0,591.860492,180.0,14.5,23.0,22.0,24.0,-0.0018703449856478024,0.11222069913886815,1.767600838671204,0.0,0.0,0.0,True,False,0.007195458998467075,1,13,0.01027585723777449,Optimization terminated successfully
15.0,23.99355800422295,23.039313817860005,28.0,470.8832913,180.0,14.5,23.0,22.0,24.0,-0.001857039275828912,0.11142235654973472,1.8790231952209389,0.0,0.0,0.0,True,False,0.0072049999980663415,1,13,0.009621435101159462,Optimization terminated successfully
15.5,23.997548234760032,22.98809357246133,28.0,429.6959943,180.0,14.5,23.0,22.0,24.0,-0.0018471501830503796,0.11082901098302278,1.9898522062039616,0.0,0.0,0.0,True,False,0.007261916001880309,1,13,0.008734365828902461,Optimization terminated successfully
16.0,23.954488709030922,22.81846104895328,28.0,263.71591,180.0,14.5,23.0,22.0,24.0,-0.0017346627768716496,0.10407976661229898,2.0939319728162604,0.0,0.0,0.0,True,False,0.007146749998355517,1,13,0.007637656942825975,Optimization terminated successfully
16.5,23.886718922794564,22.81481820217736,27.0,226.0505061,180.0,14.5,23.0,22.0,24.0,-0.0015913201834932315,0.09547921100959389,2.1894111838258543,0.0,0.0,0.0,True,False,0.007197666996944463,1,13,0.006518401381584648,Optimization terminated successfully
17.0,23.806011781580228,22.747834142135748,27.0,121.8269847,180.0,14.5,23.0,22.0,24.0,-0.0013753388748569905,0.08252033249141943,2.2719315163172737,0.0,0.0,0.0,True,False,0.007141792000766145,1,13,0.005447942268984863,Optimization terminated successfully
17.5,23.718452551093858,22.78583450904361,26.0,106.5415969,180.0,14.5,23.0,22.0,24.0,-0.0012159201888993047,0.07295521133395828,2.344886727651232,0.0,0.0,0.0,True,False,0.007293540998944081,1,13,0.004526222909076275,Optimization terminated successfully
18.0,23.614804938900647,22.581226839098445,26.0,50.16,50.0,14.5,23.0,22.0,24.0,-0.0009699716417439793,0.05819829850463876,2.4030850261558707,0.0,0.0,0.0,True,False,0.0073635000007925555,1,13,0.0037010682529615762,Optimization terminated successfully
18.5,23.509810654474197,22.67438498626658,25.0,44.5421727,50.0,14.5,23.0,22.0,24.0,-0.0007504427957648819,0.04502656774589291,2.4481115939017637,0.0,0.0,0.0,True,False,0.007801125000696629,1,13,0.003075060217420298,Optimization terminated successfully
19.0,23.409166790520455,22.73403380292749,24.0,20.625,50.0,14.5,23.0,22.0,24.0,-0.0006154058365951603,0.03692435019570962,2.4850359440974734,0.0,0.0,0.0,True,False,0.007539665999502176,1,13,0.0026587577250118963,Optimization terminated successfully
