time_hour,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message
17664.5,20.25726181611345,21.46131431543899,18.0,0.0,50.0,14.683399833773521,22.28526622139089,15.0,28.0,-0.0005518035918928799,0.03310821551357279,0.03310821551357279,0.0,0.0,0.0,True,False,0.09874816699448274,12,169,0.0020845961472400762,Optimization terminated successfully
17665.0,20.38482056271973,21.312959445147033,19.0,0.0,50.0,14.672790697356879,21.36990992857832,15.0,28.0,-0.00030979536394133304,0.018587721836479984,0.051695937350052776,0.0,0.0,0.0,True,False,0.013627957996504847,1,24,0.001977413333084317,Optimization terminated successfully
17665.5,20.509021256438327,21.345924277319984,20.0,0.0,50.0,14.662916657109534,21.303608696262447,15.0,28.0,-0.0002780881073293516,0.016685286439761096,0.06838122378981387,0.0,0.0,0.0,True,False,0.01321862499753479,1,24,0.002184250899147631,Optimization terminated successfully
17666.0,20.643612194594144,21.378046370975376,21.3,0.0,50.0,14.647230827474775,21.250367375541853,15.0,28.0,-0.0002969645495158801,0.017817872970952806,0.08619909676076667,0.0,0.0,0.0,True,False,0.05194416699669091,7,95,0.002047038347480948,Optimization terminated successfully
17666.5,20.768402618993804,21.5458032961497,21.0,0.0,50.0,14.624602924888267,21.70274032936167,15.0,28.0,-0.00048500319561496635,0.02910019173689798,0.11529928849766466,0.0,0.0,0.0,True,False,0.013154833999578841,1,24,0.0021946117247101135,Optimization terminated successfully
17667.0,20.87652587697259,21.57062974773443,20.7,0.0,50.0,14.580803941616475,21.571626275634582,15.0,28.0,-0.00028228509865107094,0.016937105919064256,0.1322363944167289,0.0,0.0,0.0,True,False,0.012880125002993736,1,24,0.0022022168087523185,Optimization terminated successfully
17667.5,20.97372196146706,21.655807336228175,20.5,0.0,50.0,14.569581317469163,21.704753026546477,15.0,28.0,-0.0003600451099224067,0.0216027065953444,0.15383910101207332,0.0,0.0,0.0,True,False,0.055854500002169516,7,102,0.002069615983982014,Optimization terminated successfully
17668.0,21.060882374465077,21.694198052796725,20.4,0.0,50.0,14.581322352578253,21.674619748104867,15.0,28.0,-0.00028742694813846723,0.017245616888308033,0.17108471790038135,0.0,0.0,0.0,True,False,0.09498024999629706,13,173,0.0018834094714458203,Optimization terminated successfully
17668.5,21.140111985743786,21.735721894380404,20.4,0.0,50.0,14.58744559435039,21.695415313427613,15.0,28.0,-0.00028589223784473495,0.017153534270684098,0.18823825217106543,0.0,0.0,0.0,True,False,0.07380404199648183,9,134,0.001745728229773017,Optimization terminated successfully
17669.0,21.214201099857743,21.773709768600916,20.5,0.0,50.0,14.589041436997709,21.733530831397147,15.0,28.0,-0.00029139508296944356,0.017483704978166613,0.20572195714923205,0.0,0.0,0.0,True,False,0.020430500000657048,2,37,0.0017483723671083869,Optimization terminated successfully
