iteration,current_return,best_return_so_far,gap_to_best
1,-89.10591122426675,-89.10591122426675,0.0
2,-96.03173200436412,-89.10591122426675,6.925820780097368
3,-96.03010696811155,-89.10591122426675,6.924195743844805
4,-96.02678088092105,-89.10591122426675,6.920869656654304
5,-77.35707485916787,-77.35707485916787,0.0
6,-14.201453111556265,-14.201453111556265,0.0
7,-77.90619842957172,-14.201453111556265,63.704745318015455
8,-54.78262481905495,-14.201453111556265,40.58117170749868
9,-15.837326200956,-14.201453111556265,1.635873089399734
10,-12.040723207877297,-12.040723207877297,0.0
11,-12.696520245093845,-12.040723207877297,0.6557970372165478
