iteration,current_return,best_return_so_far,gap_to_best
1,-96.37524957890362,-96.37524957890362,0.0
2,-100.96133360084832,-96.37524957890362,4.5860840219447
3,-100.94021645659336,-96.37524957890362,4.564966877689741
4,-87.0236058243336,-87.0236058243336,0.0
5,-96.02627296008933,-87.0236058243336,9.002667135755729
6,-95.99930200654823,-87.0236058243336,8.975696182214634
7,-96.01973324598158,-87.0236058243336,8.996127421647984
8,-96.02198360998909,-87.0236058243336,8.998377785655492
9,-95.98494701288486,-87.0236058243336,8.961341188551259
10,-96.00585198898176,-87.0236058243336,8.98224616464816
11,-96.01896158413906,-87.0236058243336,8.995355759805463
