parameter,true_value,generic_value,identified_value,lower_bound,upper_bound,generic_relative_error_percent,identified_relative_error_percent,error_improvement_percent_points,identified_at_lower_bound,identified_at_upper_bound
C_env,3199600.0,3621417.0,3199600.0000019874,1000000.0,6000000.0,13.18342917864733,6.211533861199622e-11,13.183429178585214,False,False
C_air,351870.0,395335.4,351870.0000001435,200000.0,600000.0,12.352687071929981,4.0776958578934594e-11,12.352687071889205,False,False
R_rc,0.00706,0.007260759,0.0070599999999845535,0.001,0.02,2.8436118980169973,2.187938412441286e-10,2.8436118977982034,False,False
R_oe,0.02707,0.03000755,0.0270700000009712,0.005,0.05,10.851680827484302,3.5877311260192953e-09,10.85168082389657,False,False
R_er,0.00369,0.004009136,0.0036899999999848074,0.0005,0.01,8.648672086720861,4.117265095556877e-10,8.648672086309135,False,False
