parameter_source,prediction_mode,envelope_rmse,zone_rmse,combined_rmse,envelope_mae,zone_mae,combined_mae,envelope_bias,zone_bias,envelope_max_abs_error,zone_max_abs_error,number_of_samples
generic,one_step,0.026545054561184833,0.026441172997810746,0.02649316469541187,0.021255585938618548,0.02200904599117202,0.021632315964895284,0.00040754225840739747,-0.002800581050255422,0.06929952365092618,0.0980535704035681,336
generic,rollout,0.16117897437102835,0.08543267968817407,0.1289910937584428,0.13794276744976855,0.06952678074568386,0.1037347740977262,-0.004706712456516982,-0.009522122756430659,0.3472201179036638,0.20358443306030338,336
identified,one_step,3.433517547147969e-11,3.1409215157846434e-11,3.290473424515985e-11,2.80469298579484e-11,2.6174797778957154e-11,2.7110863818452776e-11,-1.0029331862359045e-12,-1.4571941537020567e-12,9.00577390439139e-11,6.835776389380044e-11,336
identified,rollout,1.7899244583854667e-06,8.889138329248039e-07,1.4131520387225807e-06,1.3882293479734676e-06,6.805089647766663e-07,1.034369156375067e-06,3.57421216750404e-08,-2.0597680725064124e-08,4.501289499359018e-06,2.2918802429217067e-06,336
true,one_step,3.450070514169907e-11,3.14951771597489e-11,3.303214222237508e-11,2.8193077502199532e-11,2.6317540739266103e-11,2.7255309120732818e-11,-2.276200392191727e-12,-2.285166764809652e-12,8.877520940586692e-11,7.184297601270373e-11,336
true,rollout,1.7899184957111344e-06,8.889109651858082e-07,1.4131473605601746e-06,1.3882238610503823e-06,6.805068697963924e-07,1.0343653654233873e-06,3.572946810372795e-08,-2.0603276397137973e-08,4.501278027646549e-06,2.291903875573098e-06,336
