iteration,current_return,best_return_so_far,gap_to_best
1,-4.806422102040826,-4.806422102040826,0.0
2,-4.729632529483908,-4.729632529483908,0.0
3,-4.269935217602157,-4.269935217602157,0.0
4,-4.206941598258377,-4.206941598258377,0.0
5,-3.9569570195519193,-3.9569570195519193,0.0
6,-4.089752672400257,-3.9569570195519193,0.13279565284833783
7,-3.9396563432640286,-3.9396563432640286,0.0
8,-4.0053503039557645,-3.9396563432640286,0.06569396069173594
9,-4.060923648562034,-3.9396563432640286,0.12126730529800556
10,-3.87068066510783,-3.87068066510783,0.0
11,-3.9711031024910537,-3.87068066510783,0.10042243738322387
