iteration,current_return,best_return_so_far,gap_to_best
1,-4.8283414501485975,-4.8283414501485975,0.0
2,-4.230380212996646,-4.230380212996646,0.0
3,-4.239196395676747,-4.230380212996646,0.00881618268010076
4,-4.198656546759947,-4.198656546759947,0.0
5,-3.9665278493897085,-3.9665278493897085,0.0
6,-3.67794804974432,-3.67794804974432,0.0
7,-3.5108509489396207,-3.5108509489396207,0.0
8,-3.7226273215634382,-3.5108509489396207,0.21177637262381754
9,-3.660494418708658,-3.5108509489396207,0.1496434697690372
10,-3.569971276326955,-3.5108509489396207,0.05912032738733419
11,-3.5950463356977465,-3.5108509489396207,0.08419538675812577
