energy_true,penalty_true,exceedance_true
0.13437367975711823,0.0,0.0
0.23323820531368256,0.0,0.0
0.3504648208618164,0.0,0.0
0.45628704130649567,0.0,0.0
0.5677462667226791,0.0,0.0
0.6750069111585617,0.0,0.0
0.7832968086004257,0.0,0.0
0.8898889571428299,0.0,0.0
0.99642663449049,0.0,0.0
1.1021538376808167,0.0,0.0
1.2076295837759972,0.0,0.0
1.3128324821591377,0.0,0.0
1.4179989844560623,0.0,0.0
1.5233778581023216,0.5,1.644936969327503
1.628729872405529,1.0,3.271193488221602
1.7348603680729866,1.5,4.906904365219711
2.550510711967945,1.5,4.906904365219711
2.7084608748555183,2.0,7.526294532022794
3.55081719905138,2.0,7.526294532022794
3.7171593084931374,2.5,10.110325400108689
4.5597506538033485,3.0,10.295846995969505
4.7323393151164055,3.5,12.774049270144468
5.575569681823254,4.0,13.170874699238803
5.754242651164532,4.5,15.547580059756745
6.5980778858065605,5.0,16.145985771384247
6.781999357044697,5.5,18.439769010640617
7.594202883541584,6.0,19.102355494353084
7.779622323811054,6.5,21.428876112141808
7.871917627751827,7.0,21.6039141625398
8.014109455049038,7.5,22.945768972696
8.129038386046886,8.0,23.65614976542496
8.258193872869015,8.5,24.722991788012827
8.378900937736034,9.0,25.635110142079828
8.502673201262951,9.5,26.67444096845234
8.623171485960484,10.0,27.701477242868666
8.74333780258894,10.5,28.79278130503446
8.861594550311565,11.0,30.054507805356394
8.976170279085636,11.5,31.28790671979103
9.090058751404285,12.0,32.60633416438969
9.20156168192625,12.5,33.95099023659769
9.311948344111443,13.0,35.352243791909345
9.42075403034687,13.0,35.352243791909345
9.528318852186203,13.0,35.352243791909345
9.634647652506828,13.0,35.352243791909345
9.739875599741936,13.0,35.352243791909345
9.844115778803825,13.0,35.352243791909345
9.947451815009117,13.0,35.352243791909345
10.049983710050583,13.0,35.352243791909345
10.151775807142258,13.0,35.352243791909345
10.252927631139755,13.0,35.352243791909345
10.35347094386816,13.0,35.352243791909345
10.453496642410755,13.0,35.352243791909345
10.553055167198181,13.0,35.352243791909345
10.652188897132874,13.0,35.352243791909345
10.750936895608902,13.0,35.352243791909345
10.849333181977272,13.0,35.352243791909345
10.947408430278301,13.0,35.352243791909345
11.045211054384708,13.0,35.352243791909345
11.142771288752556,13.0,35.352243791909345
11.240241065621376,13.0,35.352243791909345
11.337711319327354,13.0,35.352243791909345
11.435560546815395,13.5,37.27696481766078
11.533578842878342,14.0,39.173223113625134
11.632476352155209,14.5,41.05949137426339
12.478220127522945,14.5,41.05949137426339
12.623708091676235,15.0,43.86506434624054
13.465051613748074,15.0,43.86506434624054
13.617855422198772,15.5,46.604154913897304
14.45954691618681,15.5,46.604154913897304
14.618823103606701,16.0,49.24690023687096
15.461050383746624,16.5,49.287094348988326
15.627079717814922,17.0,51.83175499618824
16.46987771242857,17.5,52.08019431505194
16.64241363853216,18.0,54.52276424918418
17.48580225557089,18.5,54.969497516869176
17.664021752774715,19.0,57.33879620393738
18.50652887672186,19.5,57.935885214151824
18.688546113669872,20.0,60.249140468669225
19.41942148655653,20.5,60.73024456339823
19.59914057701826,21.0,62.92190816438599
19.694408752024174,21.5,63.15198449986244
19.834674201905727,22.0,64.50101880832757
19.949139706790447,22.5,65.29293255824156
20.07609900087118,23.0,66.43832763640141
20.19482059031725,23.5,67.59313473668246
20.313329301774502,24.0,68.79880185248129
20.43000379949808,24.5,70.03720084897341
20.545367695391178,25.0,71.31819121104154
20.65925607830286,25.5,72.63442485407366
20.771925181150436,25.5,72.63442485407366
20.88335008174181,25.5,72.63442485407366
20.993857316672802,25.5,72.63442485407366
21.103466920554638,25.5,72.63442485407366
21.21230448782444,25.5,72.63442485407366
21.32041324675083,25.5,72.63442485407366
21.427890695631504,25.5,72.63442485407366
21.534783013164997,25.5,72.63442485407366
21.64117458462715,25.5,72.63442485407366
21.74710963666439,25.5,72.63442485407366
21.85270220041275,25.5,72.63442485407366
21.957964211702347,25.5,72.63442485407366
22.062859565019608,25.5,72.63442485407366
22.167407914996147,25.5,72.63442485407366
22.271524667739868,25.5,72.63442485407366
22.375208020210266,25.5,72.63442485407366
22.478426821529865,25.5,72.63442485407366
22.581145390868187,25.5,72.63442485407366
22.683536559343338,25.5,72.63442485407366
22.785607308149338,25.5,72.63442485407366
22.88782574981451,26.0,74.3812709813088
22.98990336805582,26.5,76.11128599275278
23.09259220212698,27.0,77.85367774459283
23.935368441045284,27.0,77.85367774459283
24.085841707885265,27.5,80.58689274723211
24.927561335265636,27.5,80.58689274723211
25.08370927721262,28.0,83.26354996129396
25.92573181539774,28.0,83.26354996129396
26.086707271635532,28.5,85.83581405608035
26.929296292364597,29.0,86.03123317123782
27.09550104290247,29.5,88.50417768652444
27.938641764223576,30.0,88.89789898325273
28.109960354864597,30.5,91.28661276651007
28.95356921106577,31.0,91.85051981917844
29.129338048398495,31.5,94.17853604362868
29.97271528095007,32.0,94.86435327000152
30.15162243694067,32.5,97.16114994404626
30.85586556047201,33.0,97.63305099300612
31.030120112001896,33.5,99.79831721888114
31.12524565309286,34.0,100.03008950677017
31.26188076287508,34.5,101.39183950296298
31.373938471078873,35.0,102.20833487364656
31.496943086385727,35.5,103.40081165704638
31.611574307084084,36.0,104.60750568207936
31.72591158747673,36.5,105.8859447317744
31.83761551976204,37.0,107.2071865605722
31.947942949831486,37.5,108.5889807298742
32.056644424796104,38.0,110.01735319097584
32.164261773228645,38.0,110.01735319097584
32.270696483552456,38.0,110.01735319097584
32.3761845305562,38.0,110.01735319097584
