C_env,C_air,R_rc,R_oe,R_er,RMSE
742638.5078237439,307948.80840409204,0.0074644230174809,0.0381364056354881,0.0024463301783698,0.0
1688696.4825524874,757330.2441026862,0.0091274290980071,0.0249319983728918,0.0023929023878844,0.7227687026658294
1140320.754384132,425208.2639011026,0.0039748533357691,0.0438565995239048,0.0051619411865393,0.6004876071221747
4442617.443366042,329197.060907737,0.0008239728491791,0.0376874685622933,0.0052309521878662,1.3696754689998887
3713074.047610471,92651.74310390076,0.0022197047792004,0.0614821427546624,0.0064085924597363,1.0914341196533852
6754286.041312448,661359.0214966238,0.0149167791773302,0.009771614705084,0.0053140387973133,2.337284546916063
1512689.7902735667,226060.40509997116,0.0062523161815458,0.0234396332755587,0.0006488189547215,0.6059512153437526
4599651.00323316,418834.6342674287,0.000980148811571,0.0493000007863341,0.003268536214525,1.3552320169766723
4167167.149710225,537918.0639366531,0.0094239214931042,0.0166301094515936,0.0055150242177969,1.0682014896533054
5556277.711015834,380705.2526091414,0.0024181900615484,0.0471017110920315,0.0008085896197245,1.0324082097785177
2674186.4627844673,115413.48308803616,0.0060721309144824,0.0151062415251325,0.0037309471613141,0.9008068894502949
2805396.305776066,506282.78417490865,0.0058712663445468,0.0253679815252399,0.0033249127980413,0.3681841763430176
1035000.8497492136,496449.0714826176,0.0064403649492605,0.026227323106248,0.0030903252712786,0.3031257730026149
2464422.0260884427,392709.2853894644,0.0071410313447334,0.0300007436281153,0.0046200783844882,0.30333894171326004
1882631.9029921512,276372.31023131596,0.0031211602614923,0.0304214684004715,0.0074842184781006,0.6515140996746763
5134382.37653018,105878.68264240371,0.0019772824454092,0.034439023735635,0.0031848114044721,0.9634034386547758
5400488.236479837,551113.2971180106,0.0013090045765585,0.0387570467413731,0.0017568834765033,1.2045434904008043
5312572.940691015,347579.94759360806,0.0093328769875518,0.0226164011258908,0.006555536908411,0.6806620920997075
3752189.3269302584,140382.2662272716,0.0118924657071974,0.0093910458562307,0.0016938980958055,2.849133949664797
6545724.91874833,587177.9434579969,0.0069212303226283,0.0155067073620437,0.0038127080792329,0.9948627833009016
4515258.178855762,324895.5099852946,0.0076520509704193,0.0185475900487277,0.0025603238335964,0.9288345367231229
4365148.6143990075,100758.19685839876,0.0016556414024301,0.0172092169032268,0.0013768757147394,0.7877740856321678
2510822.880475985,185561.95538218517,0.0126809605285288,0.0211445281040268,0.0057772688378429,1.143839349314865
7242072.191881527,546454.5078062667,0.0067805607078119,0.037190752425813,0.0056574510224284,0.4345310943374094
2932855.320890358,487081.4023868593,0.0095563921051513,0.013263933275577,0.0040380644306196,1.547439615423939
2021076.9425036905,599763.8001226073,0.0046395005149377,0.0354806992585366,0.0059724897927552,0.47600885404344934
3786307.65309844,473843.42078483326,0.0107831790114804,0.031178446011838,0.0066401075267052,0.43669828671580946
9342393.647305766,491924.0901231241,0.0020281822985467,0.0461783895802498,0.0046696645489889,1.074223595499714
3184918.5270963754,262261.1442877316,0.012198948885802,0.0240139252747651,0.0018591609473315,0.9891644096721318
899829.2561193858,226640.02830218017,0.0054571019473733,0.0273589638294265,0.0021142829470557,0.14797303103873014
