time_hour,mpc_parameter_phase,parameter_switched_after_step,identification_rows_available,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,forecast_Tout_mean_next_step,forecast_Tout_sample_next_step,forecast_Tout_error_next_step,forecast_Qsg_mean_next_step,forecast_Qsg_sample_next_step,forecast_Qsg_relative_error_next_step,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message,mpc_model_C_env,mpc_model_C_air,mpc_model_R_rc,mpc_model_R_oe,mpc_model_R_er
17670.0,generic,False,12,21.663410699313058,22.307257183873993,21.7,55.72619567,50.0,21.7,22.16016815848322,0.46016815848322196,55.72619567,54.38776508275044,-0.024017978818713828,14.5,23.0,15.0,28.0,-0.0009738572825391069,0.05843143695234641,0.8952862162686256,0.0,0.0,0.0,True,False,0.008282124996185303,1,13,0.004219967324841657,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17670.5,generic,False,13,21.77133369147456,22.325144601811107,22.4,22.77,50.0,22.4,23.333592079303173,0.9335920793031743,22.77,21.13437048765005,-0.07183265315546558,14.5,23.0,15.0,28.0,-0.0009170603035705823,0.05502361821423494,0.9503098344828605,0.0,0.0,0.0,True,False,0.007988625002326444,1,13,0.0034299984822304293,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17671.0,generic,False,14,21.906590402645943,22.502840164507205,23.0,117.7942964,50.0,23.0,22.463402012221067,-0.5365979877789344,117.7942964,101.84948532194603,-0.13536148663691974,14.5000670658563,22.999260556153207,22.0,24.0,-0.0008065585968592869,0.048393515811557215,0.9987033502944178,0.0,0.0,0.0,True,False,0.008699583006091416,1,14,0.0030058509605015043,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17671.5,generic,False,15,22.03915317083147,22.512158256990773,24.0,65.67801958,50.0,24.0,25.59694549852883,1.5969454985288292,65.67801958,71.51863574892381,0.08892801893652677,14.500078717646462,22.998767799947093,22.0,24.0,-0.000730097639945992,0.04380585839675952,1.0425092086911774,0.0,0.0,0.0,True,False,0.01622983400011435,2,27,0.0024602621627983633,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17672.0,generic,False,16,22.230153114234295,22.94907876391737,25.0,177.4316214,180.0,25.0,25.468740566383346,0.4687405663833466,177.4316214,293.67565307875054,0.655148336928575,14.500042979464785,22.996735579791356,22.0,24.0,-0.0004295518516457792,0.02577311109874675,1.068282319789924,0.0,0.0,0.0,True,False,0.007452999998349696,1,13,0.003086095048455121,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17672.5,generic,False,17,22.426261950039223,23.01296420006515,26.0,129.2898191,180.0,26.0,26.853152815123813,0.8531528151238128,129.2898191,128.91157042949442,-0.002925587437113043,14.50003460217212,22.995561997739774,22.0,24.0,-0.00027688060947844587,0.01661283656870675,1.0848951563586309,0.0,0.0,0.0,True,False,0.00791624998964835,1,13,0.002620638736508874,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17673.0,generic,False,18,22.68569038073195,23.42243810987343,27.0,333.23752,180.0,27.0,26.709941702352058,-0.29005829764794183,333.23752,423.8000216810444,0.2717656213533351,14.469504416158815,23.272948008620848,22.0,24.0,-0.00030925793129722343,0.018555475877833405,1.1034506322364643,0.0,0.0,0.0,True,False,0.11692775000119582,14,200,0.0029562739040347075,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17673.5,generic,False,19,22.94377311871767,23.547642180633343,27.6,329.361975,180.0,27.6,27.836817850499333,0.23681785049933143,329.361975,364.8195783376123,0.10765542481827889,14.450906752755204,23.39392543997435,22.0,24.0,-0.0002623198440823578,0.01573919064494147,1.119189822881406,0.0,0.0,0.0,True,False,0.08334304200252518,10,148,0.003968216159457661,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17674.0,generic,False,20,23.237267426106683,23.842062310240525,28.3,502.1707031,180.0,28.3,28.867187906849207,0.5671879068492045,502.1707031,473.7523210985515,-0.05659107914104947,14.42674634263699,23.508437401830157,22.0,24.0,-0.0003007546854859419,0.018045281129156515,1.1372351040105624,0.0,0.0,0.0,True,False,0.007502374995965511,1,13,0.003726790997554728,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17674.5,generic,False,21,23.505102174543385,23.805338153361085,28.7,518.8843589,180.0,28.7,28.737912584679997,0.03791258467999611,518.8843589,695.9962891212313,0.34133218159956974,14.39091494027782,23.403962092710223,22.0,24.0,-0.0004276964242312997,0.025661785453877983,1.1628968894644403,0.0,0.0,0.0,True,False,0.028153084000223316,3,50,0.006276673701457918,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
