metric,mean,std,median,min,max,ci95_low,ci95_high
return,-10.810915791232933,1.620149582326528,-10.408490759928121,-13.86432906150353,-8.98282054224103,-11.96990098368434,-9.651930598781526
energy_kwh,360.73927988954176,5.191807950360107,361.27424506607133,353.3305016344171,369.76908324224956,357.0252842176865,364.45327556139705
violation_hours,215.9,60.32495337752032,192.25,156.5,337.0,172.7461279979662,259.0538720020338
temp_exceedance_degC_hr,63.98125946320746,22.48542234574252,57.929206567962225,39.15583399176434,106.33983156795416,47.89615730411601,80.0663616222989
