metric,full_mean,full_std,ablation_mean,ablation_std,mean_difference_full_minus_ablation,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,cohen_dz
return,-10.810915791232933,1.620149582326528,-26.98803795179589,25.36660682340271,16.17712216056296,2.008157232002117,0.07555232693652127,0.0,0.001953125,0.6350350752865862
energy_kwh,360.73927988954176,5.191807950360107,470.246043310968,88.32783992618859,-109.50676342142621,-4.096224574492215,0.0026918571165635606,3.0,0.009765625,-1.2953399462949458
violation_hours,215.9,60.32495337752032,455.75,257.49727614524824,-239.85,-2.9562512890475694,0.016057003613768123,0.0,0.001953125,-0.9348487409199104
temp_exceedance_degC_hr,63.98125946320746,22.48542234574252,255.3413852881747,338.0091955787115,-191.36012582496718,-1.7836161316420593,0.10815670602426654,0.0,0.001953125,-0.5640289447407628
