row_index,T_env_start_predicted,T_zone_start_predicted,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error
0,20.0,24.0,20.28917694091797,20.54748615135723,0.25830921043926125,21.753997802734375,18.41010735570475,-3.343890447029626
1,20.54748615135723,18.41010735570475,20.464126586914062,20.16868347440316,-0.2954431125109025,21.725433349609375,25.58907693214033,3.8636435825309547
2,20.16868347440316,25.58907693214033,20.637451171875,20.970778614526896,0.3333274426518962,21.80615234375,17.045922087267407,-4.760230256482593
3,20.970778614526896,17.045922087267407,20.82010269165039,20.352227739752674,-0.46787495189771633,21.896026611328125,27.591156469332873,5.695129858004748
4,20.352227739752674,27.591156469332873,20.982738494873047,21.47555764896705,0.4928191540940041,22.004432678222656,15.018731435020927,-6.98570124320173
5,21.47555764896705,15.018731435020927,21.12600326538086,20.48127924399802,-0.6447240213828387,22.080944061279297,30.48954727443096,8.408603213151665
6,20.48127924399802,30.48954727443096,21.252601623535156,22.011666071944582,0.7590644484094256,22.14740753173828,11.879987918757013,-10.267419612981268
7,22.011666071944582,11.879987918757013,21.36591339111328,20.43559432419892,-0.9303190669143611,22.206571578979492,34.6354139534003,12.42884237442081
8,20.43559432419892,34.6354139534003,21.475666046142575,22.599731893035536,1.124065846892961,22.32610321044922,7.285456467185956,-15.040646743263263
9,22.599731893035536,7.285456467185956,21.580326080322266,20.219231914756694,-1.3610941655655715,22.383094787597656,40.62598294538971,18.242888157792052
10,20.219231914756694,40.62598294538971,21.68790626525879,23.336240968353906,1.6483347030951165,22.43912124633789,0.2514411879958587,-22.187680058342032
11,23.336240968353906,0.2514411879958587,21.812875747680664,19.771324100786384,-2.0415516468942805,22.565202713012695,49.34947293462465,26.784270221611955
12,19.771324100786384,49.34947293462465,21.913047790527344,24.35218370597172,2.439135915444375,22.38417053222656,-10.626679552083239,-33.010850084309794
13,24.35218370597172,-10.626679552083239,22.03247833251953,18.991612598428155,-3.0408657340913763,22.544321060180664,62.277961864678595,39.73364080449793
14,18.991612598428155,62.277961864678595,22.141117095947266,25.740536485436664,3.599419389489398,22.454912185668945,-26.363237678566712,-48.81814986423566
15,25.740536485436664,-26.363237678566712,22.306442260742188,17.797671605958534,-4.508770654783653,22.837600708007812,81.04752295902853,58.209922251020714
16,17.797671605958534,81.04752295902853,22.482162475585938,27.690119583820973,5.2079571082350355,22.983234405517575,-48.343726438047554,-71.32696084356513
17,27.690119583820973,-48.343726438047554,22.722965240478516,16.135755733539142,-6.587209506939374,23.31551742553711,108.73323346263976,85.41771603710265
18,16.135755733539142,108.73323346263976,22.95000267028809,30.666240450508866,7.716237780220776,23.30635452270508,-82.22385186367259,-105.53020638637767
19,30.666240450508866,-82.22385186367259,23.197978973388672,13.57680014635147,-9.621178827037202,23.461658477783203,149.43868986378962,125.97703138600642
