row_index,T_env_start_predicted,T_zone_start_predicted,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error
0,20.0,24.0,20.28917694091797,20.238659178829128,-0.05051776208884107,21.753997802734375,22.621565130201216,0.8675673274668405
1,20.238659178829128,22.621565130201216,20.464126586914062,20.436100023963768,-0.02802656295029493,21.725433349609375,22.14444852580375,0.41901517619437456
2,20.436100023963768,22.14444852580375,20.637451171875,20.615592416776376,-0.02185875509862356,21.80615234375,21.989127852414846,0.18297550866484613
3,20.615592416776376,21.989127852414846,20.82010269165039,20.792563587851927,-0.027539103798464026,21.896026611328125,21.970420137148576,0.07439352582045089
4,20.792563587851927,21.970420137148576,20.982738494873047,20.96181490403613,-0.020923590836915196,22.004432678222656,22.028495891553113,0.024063213330457245
5,20.96181490403613,22.028495891553113,21.12600326538086,21.109150520288644,-0.01685274509221557,22.080944061279297,22.091521021772596,0.010576960493299481
6,21.109150520288644,22.091521021772596,21.252601623535156,21.23818557552426,-0.014416048010897242,22.14740753173828,22.15236495912128,0.004957427382997537
7,21.23818557552426,22.15236495912128,21.36591339111328,21.352711754503904,-0.013201636609377232,22.206571578979492,22.208706816201328,0.0021352372218359505
8,21.352711754503904,22.208706816201328,21.475666046142575,21.463564062250892,-0.012101983891682266,22.32610321044922,22.3040390787098,-0.02206413173941968
9,21.463564062250892,22.3040390787098,21.580326080322266,21.566518838678924,-0.013807241643341683,22.383094787597656,22.371091594563175,-0.01200319303448083
10,21.566518838678924,22.371091594563175,21.68790626525879,21.66803402878001,-0.019872236478779115,22.43912124633789,22.426461927379933,-0.012659318957958021
11,21.66803402878001,22.426461927379933,21.812875747680664,21.785113868941007,-0.027761878739656964,22.565202713012695,22.471736138376027,-0.0934665746366683
12,21.785113868941007,22.471736138376027,21.913047790527344,21.885724870196665,-0.027322920330679068,22.38417053222656,22.402032047599803,0.01786151537324443
13,21.885724870196665,22.402032047599803,22.03247833251953,22.00085334251466,-0.031624990004871734,22.544321060180664,22.386799132293884,-0.15752192788677988
14,22.00085334251466,22.386799132293884,22.141117095947266,22.11941113552208,-0.021705960425187243,22.454912185668945,22.375947130601798,-0.07896505506714746
15,22.11941113552208,22.375947130601798,22.306442260742188,22.249380204381662,-0.057062056360525304,22.837600708007812,22.52101639727048,-0.3165843107373334
16,22.249380204381662,22.52101639727048,22.482162475585938,22.44750886365663,-0.034653611929307715,22.983234405517575,22.705729889461477,-0.2775045160560978
