row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error,T_env_start,T_zone_start,T_out_start,T_out_end,T_cor_start,T_cor_end,Qsg_start,Qsg_end,Qint_start,Qint_end,Q_HVAC_total_est_W,dt_seconds,envelope_abs_error,zone_abs_error,combined_abs_error
0,20.28917694091797,20.299885646337746,0.010708705419776976,21.753997802734375,21.801826290616525,0.04782848788214977,20.0,24.0,17.0,18.0,24.0,24.0,0.0,0.0,50.0,50.0,-58.720006973915446,1800.0,0.010708705419776976,0.04782848788214977,0.05853719330192675
1,20.464126586914062,20.45456685461055,-0.009559732303511481,21.725433349609375,21.718871088338958,-0.00656226127041748,20.28917694091797,21.753997802734375,18.0,19.0,24.0,24.0,0.0,0.0,50.0,50.0,-17.636039635166952,1800.0,0.009559732303511481,0.00656226127041748,0.01612199357392896
2,20.637451171875,20.626901777133497,-0.010549394741502738,21.80615234375,21.796879960430466,-0.009272383319533617,20.464126586914062,21.725433349609375,19.0,20.0,24.0,24.0,0.0,0.0,50.0,50.0,-26.021351365163184,1800.0,0.010549394741502738,0.009272383319533617,0.019821778061036355
3,20.82010269165039,20.806584614236733,-0.013518077413657181,21.896026611328125,21.884996378060173,-0.011030233267952383,20.637451171875,21.80615234375,20.0,21.300003051757812,24.0,24.0,0.0,0.0,50.0,50.0,-37.22605905931326,1800.0,0.013518077413657181,0.011030233267952383,0.024548310681609564
4,20.982738494873047,20.984397037789392,0.0016585429163455956,22.004432678222656,22.000656020738166,-0.003776657484490187,20.82010269165039,21.896026611328125,21.300003051757812,21.0,24.0,24.0,0.0,0.0,50.0,50.0,-37.26786095755949,1800.0,0.0016585429163455956,0.003776657484490187,0.005435200400835782
5,21.12600326538086,21.12797986483732,0.0019765994564622247,22.080944061279297,22.078258018755427,-0.002686042523869503,20.982738494873047,22.004432678222656,21.0,20.700000762939453,24.0,24.0,0.0,0.0,50.0,50.0,-47.66511012517694,1800.0,0.0019765994564622247,0.002686042523869503,0.004662641980331728
6,21.252601623535156,21.25373490160466,0.0011332780695028077,22.14740753173828,22.144761326151116,-0.00264620558716544,21.12600326538086,22.080944061279297,20.700000762939453,20.5,24.0,24.0,0.0,0.0,50.0,50.0,-56.39160513080273,1800.0,0.0011332780695028077,0.00264620558716544,0.0037794836566682477
7,21.36591339111328,21.366175178891375,0.00026178777809349185,22.206571578979492,22.203843928756154,-0.002727650223338429,21.252601623535156,22.14740753173828,20.5,20.400001525878903,24.0,24.0,0.0,0.0,50.0,50.0,-64.12129620806218,1800.0,0.00026178777809349185,0.002727650223338429,0.002989438001431921
8,21.475666046142575,21.474427203177466,-0.0012388429651082333,22.32610321044922,22.32145784036459,-0.004645370084627842,21.36591339111328,22.206571578979492,20.400001525878903,20.400001525878903,24.0,24.0,0.0,0.0,50.0,50.0,-41.838683217386546,1800.0,0.0012388429651082333,0.004645370084627842,0.005884213049736076
9,21.580326080322266,21.57870561463429,-0.0016204656879743595,22.383094787597656,22.379627139097323,-0.003467648500333098,21.475666046142575,22.32610321044922,20.400001525878903,20.5,24.0,24.0,0.0,0.0,50.0,50.0,-50.1919754271247,1800.0,0.0016204656879743595,0.003467648500333098,0.005088114188307458
