row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error
0,20.28917694091797,20.54748615135723,0.25830921043926125,21.753997802734375,18.41010735570475,-3.343890447029626
1,20.464126586914062,20.464926910563957,0.0008003236498943522,21.725433349609375,21.516249452238224,-0.20918389737115106
2,20.637451171875,20.62599543207134,-0.011455739803661658,21.80615234375,21.747622848173656,-0.05852949557634446
3,20.82010269165039,20.802381563071172,-0.01772112857921826,21.896026611328125,21.840917712854523,-0.0551088984736019
4,20.982738494873047,20.994109305763356,0.011370810890309002,22.004432678222656,21.99407624326947,-0.010356434953187943
5,21.12600326538086,21.138862759707827,0.012859494326967535,22.080944061279297,22.04592602757792,-0.035018033701376794
6,21.252601623535156,21.262738498322676,0.0101368747875199,22.14740753173828,22.114899926698182,-0.03250760504009875
7,21.36591339111328,21.37338140484587,0.007468013732587764,22.206571578979492,22.177030225472656,-0.029541353506836288
8,21.475666046142575,21.474004888952205,-0.0016611571903695221,22.32610321044922,22.38237868032257,0.05627546987335208
9,21.580326080322266,21.582967541882105,0.0026414615598397972,22.383094787597656,22.359011953976967,-0.02408283362068886
10,21.68790626525879,21.680263257734133,-0.007643007524656298,22.43912124633789,22.404379594574465,-0.03474165176342581
11,21.812875747680664,21.791238270498745,-0.021637477181918996,22.565202713012695,22.416057504624224,-0.14914520838847167
12,21.913047790527344,21.95657820321324,0.043530412685896636,22.38417053222656,21.95821294531887,-0.42595758690768903
13,22.03247833251953,22.007803808118155,-0.02467452440137663,22.544321060180664,22.22478221755529,-0.3195388426253736
14,22.141117095947266,22.19688755979245,0.05577046384518525,22.454912185668945,21.99248108855505,-0.4624310971138961
15,22.306442260742188,22.264537613683615,-0.041904647058572664,22.837600708007812,21.825488189236495,-1.0121125187713176
16,22.482162475585938,22.543217099435086,0.061054623849148726,22.983234405517575,22.572281367091687,-0.4109530384258875
17,22.722965240478516,22.704397464355573,-0.018567776122942803,23.31551742553711,22.276210328107886,-1.039307097429223
18,22.95000267028809,23.08965973384698,0.1396570635588894,23.30635452270508,21.798678287787226,-1.5076762349178559
19,23.197978973388672,23.286257301796578,0.08827832840790606,23.461658477783203,21.507998110850107,-1.9536603669330965
20,23.42199325561523,23.626715947896727,0.20472269228149642,23.45014190673828,21.224203231138283,-2.2259386755999984
21,23.64117431640625,23.82788148931132,0.18670717290507,23.485031127929688,20.917376862363078,-2.5676542655666097
22,23.82451629638672,24.088898041871683,0.2643817454849646,23.40323257446289,20.655746447765182,-2.7474861266977086
23,23.985490798950195,24.24172131174174,0.25623051279154296,23.420394897460938,20.76131687921024,-2.659078018250696
24,24.127159118652344,24.41073745554551,0.2835783368931679,23.47542953491211,20.912360483759734,-2.5630690511523753
25,24.201656341552734,24.539129354869356,0.3374730133166217,23.325611114501953,21.30867076379809,-2.0169403507038624
26,24.157306671142575,24.46205164183643,0.3047449706938572,22.988018035888672,22.351155624758153,-0.6368624111305188
27,24.147619247436523,24.14482891923704,-0.0027903281994845486,23.248403549194336,23.080640860742495,-0.16776268845184106
28,24.27307510375977,24.22524285022014,-0.047832253539628056,23.830034255981445,22.417376674809535,-1.41265758117191
29,24.327129364013672,24.579228096682,0.2520987326683297,23.286434173583984,20.60979069561633,-2.676643477967655
30,24.30864715576172,24.507578545161724,0.19893138940000554,23.05235290527344,21.175446735096724,-1.8769061701767171
31,24.22733688354492,24.447246100674064,0.21990921712914613,22.80760955810547,21.540194524549307,-1.267415033556162
32,24.138349533081055,24.247056968108602,0.1087074350275472,22.89807510375977,22.358702044222145,-0.539373059537624
33,24.03046417236328,24.14809363201228,0.11762945964899885,22.80433654785156,22.36748630370418,-0.4368502441473794
34,23.913143157958984,23.978603237957184,0.06546007999819992,22.793882369995117,22.60508595100925,-0.1887964189858664
35,23.768844604492188,23.844317945609877,0.07547334111768933,22.583433151245117,22.99679729830595,0.41336414706083247
36,23.65003967285156,23.652371327356995,0.0023316545054363758,22.704498291015625,22.94220744942679,0.2377091584111639
37,23.51177024841309,23.563880072939437,0.05210982452634738,22.743793487548828,22.91925439219692,0.17546090464809083
38,23.372623443603516,23.39760266462781,0.02497922102429584,22.764144897460938,22.952434014564847,0.18828911710390983
39,23.235427856445312,23.25150029271424,0.01607243626892796,22.793907165527344,22.973927590508538,0.18002042498119408
40,23.138561248779297,23.11745978397969,-0.021101464799606617,23.17395782470703,23.78665315014408,0.6126953254370484
41,23.04837226867676,23.064184522885647,0.015812254208885435,23.15180206298828,23.209332096954917,0.057530033966635585
42,22.949871063232425,22.963381836853838,0.013510773621412397,23.10496711730957,23.136915291237447,0.03194817392787641
43,22.84288787841797,22.856100743780626,0.013212865362657311,23.05274200439453,23.085589870303018,0.03284786590848654
44,22.713394165039062,22.740985316074777,0.027591151035714745,22.7928466796875,22.56438594537685,-0.2284607343106515
45,22.575183868408203,22.581832765766446,0.006648897358243033,22.7138614654541,22.74058740735829,0.0267259419041892
46,22.441272735595703,22.4430549027036,0.001782167107897692,22.64540100097656,22.682303595838132,0.03690259486157288
47,22.31164932250977,22.313592347135852,0.0019430246260832007,22.579570770263672,22.615883439597155,0.03631266933348343
48,22.201351165771484,22.188075785799988,-0.013275379971496193,22.632173538208008,22.81124817620927,0.17907463800126067
49,22.10007095336914,22.100748986735862,0.0006780333667215643,22.58598518371582,22.621517665909458,0.035532482193637804
50,22.00622940063477,22.00373810364921,-0.0024912969855606093,22.53795051574707,22.563729780879157,0.025779265132086948
51,21.918899536132812,21.916752306469935,-0.0021472296628779475,22.493019104003903,22.51669450783179,0.023675403827887465
52,21.839941024780273,21.835622990400868,-0.004318034379405589,22.475664138793945,22.52881325017535,0.05314911138140488
53,21.767192840576172,21.76561926305805,-0.001573577518122704,22.43941116333008,22.46073720404278,0.02132604071269739
54,21.69910049438477,21.69786867197378,-0.0012318224109897358,22.40449905395508,22.42312563875249,0.018626584797409862
55,21.635196685791016,21.634171846021687,-0.001024839769328878,22.37170791625977,22.38915355746298,0.017445641203210016
56,21.583654403686523,21.574261214823416,-0.009393188863107582,22.407564163208008,22.506627924664848,0.09906376145683993
57,21.53956413269043,21.537114699514905,-0.0024494331755242627,22.38772964477539,22.40357065965228,0.015841014876890824
58,21.51167678833008,21.497638700610995,-0.014038087719086434,22.37310791015625,22.374977057205463,0.001869147049212927
59,21.51618194580078,21.485657982356418,-0.030523963444363034,22.440044403076172,22.317292525219724,-0.12275187785644803
60,21.51612091064453,21.546241627492414,0.030120716847882534,22.20350646972656,21.795218272398436,-0.4082881973281225
61,21.555883407592773,21.51558511431721,-0.040298293275562,22.32025146484375,22.01445239855974,-0.30579906628400977
62,21.61440658569336,21.64472119823357,0.030314612540209396,22.26384735107422,21.706127243988362,-0.5577201070858564
63,21.72783851623535,21.713203257807226,-0.014635258428125297,22.589584350585938,21.660567770169447,-0.9290165804164907
64,21.890655517578125,21.91200827766928,0.02135276009115472,22.846101760864254,22.287851491370084,-0.5582502694941702
65,22.09465217590332,22.135602898543716,0.04095072264039601,23.052183151245117,22.06395436262068,-0.9882287886244363
66,22.3096923828125,22.40997576969349,0.1002833868809887,23.16558074951172,21.91644924904545,-1.2491315004662695
67,22.536033630371097,22.640614070249946,0.10458043987884835,23.278865814208984,21.73053903725366,-1.5483267769553244
68,22.757980346679688,22.90315565503395,0.1451753083542613,23.33132553100586,21.59941848695631,-1.7319070440495494
69,22.98236083984375,23.12720006366616,0.14483922382240877,23.385778427124023,21.356311817212905,-2.0294666099111183
70,23.184062957763672,23.384044382020605,0.19998142425693288,23.34315490722656,21.162301263331045,-2.1808536438955137
71,23.380779266357425,23.565414666906886,0.18463540054946037,23.373355865478516,21.021809952874925,-2.3515459126035907
72,23.5697021484375,23.79073424042572,0.2210320919882207,23.493343353271484,21.253497152641522,-2.2398462006299624
73,23.752544403076172,23.9981506759163,0.24560627284012782,23.577789306640625,21.269444828359184,-2.308344478281441
74,23.91674041748047,24.171609540008046,0.25486912252757676,23.613609313964844,21.267348568200095,-2.3462607457647486
75,24.050357818603516,24.312378262866385,0.26202044426286974,23.58539581298828,21.341909130425968,-2.243486682562313
76,24.216209411621097,24.397330315925274,0.18112090430417638,23.883281707763672,21.565283003112295,-2.3179987046513766
