row_index,T_env_start_predicted,T_zone_start_predicted,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error
0,20.0,24.0,20.28917694091797,20.307841604812566,0.01866466389459731,21.753997802734375,21.683014738414048,-0.07098306432032686
1,20.307841604812566,21.683014738414048,20.464126586914062,20.46659050114906,0.0024639142349975884,21.725433349609375,21.71444459348266,-0.01098875612671435
2,20.46659050114906,21.71444459348266,20.637451171875,20.627837657569415,-0.009613514305584658,21.80615234375,21.79501964056559,-0.011132703184408399
3,20.627837657569415,21.79501964056559,20.82010269165039,20.796296360065387,-0.02380633158500345,21.896026611328125,21.876280115046256,-0.01974649628186853
4,20.796296360065387,21.876280115046256,20.982738494873047,20.96342069789212,-0.019317796980928392,22.004432678222656,21.985724116576513,-0.018708561646143096
5,20.96342069789212,21.985724116576513,21.12600326538086,21.111014952072125,-0.014988313308734291,22.080944061279297,22.06499741611976,-0.01594664515953781
6,21.111014952072125,22.06499741611976,21.252601623535156,21.240527493305716,-0.012074130229439817,22.14740753173828,22.1341721824425,-0.013235349295779741
7,21.240527493305716,22.1341721824425,21.36591339111328,21.355479838661246,-0.010433552452035144,22.206571578979492,22.195156016711458,-0.011415562268034307
8,21.355479838661246,22.195156016711458,21.475666046142575,21.46491041480251,-0.010755631340064298,22.32610321044922,22.31685697318994,-0.009246237259279866
9,21.46491041480251,22.31685697318994,21.580326080322266,21.569031795191602,-0.01129428513066344,22.383094787597656,22.372114207598013,-0.01098057999964297
10,21.569031795191602,22.372114207598013,21.68790626525879,21.670292787861552,-0.017613477397237176,22.43912124633789,22.42188983882746,-0.01723140751042962
11,21.670292787861552,22.42188983882746,21.812875747680664,21.78515207476088,-0.027723672919783837,22.565202713012695,22.45781166164326,-0.1073910513694365
12,21.78515207476088,22.45781166164326,21.913047790527344,21.892078964543778,-0.020968825983565864,22.38417053222656,22.316006808985705,-0.06816372324085407
13,21.892078964543778,22.316006808985705,22.03247833251953,22.000063989707506,-0.032414342812025154,22.544321060180664,22.33353797812712,-0.21078308205354546
14,22.000063989707506,22.33353797812712,22.141117095947266,22.121001489705193,-0.020115606242072204,22.454912185668945,22.313321805818237,-0.1415903798507081
15,22.121001489705193,22.313321805818237,22.306442260742188,22.24734454431787,-0.05909771642431849,22.837600708007812,22.37566560060587,-0.461935107401942
16,22.24734454431787,22.37566560060587,22.482162475585938,22.43613959453351,-0.046022881052426357,22.983234405517575,22.71990254000451,-0.263331865513063
17,22.43613959453351,22.71990254000451,22.722965240478516,22.661975159176553,-0.06099008130196282,23.31551742553711,22.703741912013097,-0.6117755135240124
18,22.661975159176553,22.703741912013097,22.95000267028809,22.922391947955322,-0.027610722332767068,23.30635452270508,22.666025300405,-0.6403292223000818
19,22.922391947955322,22.666025300405,23.197978973388672,23.17854627034691,-0.019432703041761812,23.461658477783203,22.54509010207782,-0.9165683757053849
20,23.17854627034691,22.54509010207782,23.42199325561523,23.449105297774736,0.027112042159505023,23.45014190673828,22.502241374787342,-0.947900531950939
21,23.449105297774736,22.502241374787342,23.64117431640625,23.702404678143278,0.061230361737028005,23.485031127929688,22.378220220724838,-1.1068109072048493
22,23.702404678143278,22.378220220724838,23.82451629638672,23.94562432130227,0.12110802491555006,23.40323257446289,22.291225507441812,-1.1120070670210787
23,23.94562432130227,22.291225507441812,23.985490798950195,24.168319831715657,0.18282903276546136,23.420394897460938,22.317838888324527,-1.1025560091364106
24,24.168319831715657,22.317838888324527,24.127159118652344,24.38538040110859,0.25822128245624754,23.47542953491211,22.430764310270852,-1.0446652246412569
25,24.38538040110859,22.430764310270852,24.201656341552734,24.550663862090325,0.3490075205375902,23.325611114501953,22.671469787717637,-0.6541413267843161
26,24.550663862090325,22.671469787717637,24.157306671142575,24.587715811095023,0.4304091399524488,22.988018035888672,23.085017715816544,0.0969996799278725
27,24.587715811095023,23.085017715816544,24.147619247436523,24.5579651674583,0.4103459200217756,23.248403549194336,23.281965005353342,0.0335614561590063
28,24.5579651674583,23.281965005353342,24.27307510375977,24.621123179096084,0.3480480753363153,23.830034255981445,23.152029560001417,-0.6780046959800288
29,24.621123179096084,23.152029560001417,24.327129364013672,24.69135582039274,0.36422645637906825,23.286434173583984,22.6119144059759,-0.6745197676080856
30,24.69135582039274,22.6119144059759,24.30864715576172,24.694195036505825,0.38554788074410595,23.05235290527344,22.534236989343295,-0.5181159159301458
31,24.694195036505825,22.534236989343295,24.22733688354492,24.653376980366463,0.426040096821545,22.80760955810547,22.574593438871783,-0.23301611923368526
32,24.653376980366463,22.574593438871783,24.138349533081055,24.577601450231388,0.43925191715033307,22.89807510375977,22.823884151489818,-0.07419095226995154
