row_index,T_env_start_predicted,T_zone_start_predicted,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error
0,20.0,24.0,20.28917694091797,20.299885646337746,0.010708705419776976,21.753997802734375,21.801826290616525,0.04782848788214977
1,20.299885646337746,21.801826290616525,20.464126586914062,20.46692840958622,0.0028018226721577832,21.725433349609375,21.731697961282794,0.006264611673419296
2,20.46692840958622,21.731697961282794,20.637451171875,20.62977027309005,-0.00768089878495104,21.80615234375,21.799304733593797,-0.0068476101562033875
3,20.62977027309005,21.799304733593797,20.82010269165039,20.799325345734005,-0.020777345916386025,21.896026611328125,21.87988790343827,-0.016138707889854942
4,20.799325345734005,21.87988790343827,20.982738494873047,20.96489980113136,-0.01783869374168745,22.004432678222656,21.98719259338957,-0.017240084833087366
5,20.96489980113136,21.98719259338957,21.12600326538086,21.11104215840356,-0.014961106977299465,22.080944061279297,22.066194525463708,-0.014749535815589354
6,21.11104215840356,22.066194525463708,21.252601623535156,21.239512440281203,-0.013089183253953252,22.14740753173828,22.13460052723768,-0.012807004500601238
7,21.239512440281203,22.13460052723768,21.36591339111328,21.35373790465733,-0.012175486455952012,22.206571578979492,22.194968908776037,-0.01160267020345529
8,21.35373790465733,22.194968908776037,21.475666046142575,21.462876283373387,-0.012789762769187973,22.32610321044922,22.31324859098338,-0.012854619465837658
9,21.462876283373387,22.31324859098338,21.580326080322266,21.56653291342401,-0.013793166898256715,22.383094787597656,22.370904386252345,-0.01219040134531113
10,21.56653291342401,22.370904386252345,21.68790626525879,21.6684122869187,-0.01949397834009048,22.43912124633789,22.42139848338043,-0.01772276295746167
11,21.6684122869187,22.42139848338043,21.812875747680664,21.78599790084118,-0.0268778468394828,22.565202713012695,22.459899687287052,-0.1053030257256431
12,21.78599790084118,22.459899687287052,21.913047790527344,21.891379218532343,-0.02166857199500072,22.38417053222656,22.326328047077023,-0.057842485149535605
13,21.891379218532343,22.326328047077023,22.03247833251953,22.004392535139193,-0.028085797380338562,22.544321060180664,22.339411927595798,-0.20490913258486643
14,22.004392535139193,22.339411927595798,22.141117095947266,22.123548849517736,-0.01756824642952992,22.454912185668945,22.320547345472093,-0.13436484019685224
15,22.123548849517736,22.320547345472093,22.306442260742188,22.258526277124933,-0.04791598361725491,22.837600708007812,22.398556888088276,-0.43904381991953656
16,22.258526277124933,22.398556888088276,22.482162475585938,22.446583563424017,-0.03557891216192033,22.983234405517575,22.71811347475057,-0.2651209307670044
17,22.446583563424017,22.71811347475057,22.722965240478516,22.679944303196834,-0.04302093728168188,23.31551742553711,22.721284493023862,-0.5942329325132469
18,22.679944303196834,22.721284493023862,22.95000267028809,22.938134863704686,-0.011867806583403251,23.30635452270508,22.68772361924024,-0.6186309034648403
19,22.938134863704686,22.68772361924024,23.197978973388672,23.20021413179426,0.0022351584055897433,23.461658477783203,22.57385725199782,-0.8878012257853847
