lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true,raw_action_sat,raw_action_zat
15.0,28.0,0.0,17.0,24.0,10.000055313110352,23.452472686767578,10.000055,23.452473
15.0,28.0,0.0,18.0,21.522362,10.000041961669922,24.098901748657227,10.000042,24.098902
15.0,28.0,0.0,19.0,21.586018,10.00003719329834,23.971046447753906,10.000037,23.971046
15.0,28.0,0.0,20.0,21.641983,10.00003719329834,23.8876953125,10.000037,23.887695
15.0,28.0,0.0,21.300003,21.708487,10.000033378601074,23.75155258178711,10.000033,23.751553
15.0,28.0,0.0,21.0,21.759132,10.00003433227539,23.68777847290039,10.000034,23.687778
15.0,28.0,0.0,20.7,21.811222,10.000031471252441,23.5982723236084,10.000031,23.598272
15.0,28.0,0.0,20.5,21.850353,10.000032424926758,23.548696517944336,10.000032,23.548697
15.0,28.0,0.0,20.400002,21.889082,10.000029563903809,23.48107147216797,10.00003,23.481071
15.0,28.0,0.0,20.400002,21.919556,10.000030517578125,23.439258575439453,10.0000305,23.439259
15.0,28.0,0.0,20.5,21.950481,10.000027656555176,23.388893127441406,10.000028,23.388893
15.0,28.0,1.8150002,21.100002,21.980934,10.000028610229492,23.338764190673828,10.000029,23.338764
15.0,28.0,55.726196,21.7,22.031038,10.000031471252441,23.25133514404297,10.000031,23.251335
22.0,24.0,22.77,22.399998,22.059937,10.000028610229492,23.207447052001953,10.000029,23.207447
22.0,24.0,117.7943,23.0,22.131683,10.00003719329834,23.08297348022461,10.000037,23.082973
22.0,24.0,65.67802,24.0,22.165709,10.000032424926758,23.03374481201172,10.000032,23.033745
22.0,24.0,177.43163,25.0,22.492228,15.499937057495117,22.925338745117188,15.499937,22.925339
22.0,24.0,129.28983,26.0,22.846169,15.499927520751953,22.69744300842285,15.4999275,22.697443
22.0,24.0,333.23752,27.0,22.96225,15.49996280670166,22.315277099609375,15.499963,22.315277
22.0,24.0,329.36197,27.600006,22.940813,15.499963760375977,22.174592971801758,15.499964,22.174593
22.0,24.0,502.17072,28.300003,23.056328,15.499979019165039,21.792320251464844,15.499979,21.79232
22.0,24.0,518.88434,28.699997,23.045303,15.499979019165039,21.634933471679688,15.499979,21.634933
22.0,24.0,632.8191,29.199997,23.140438,15.499985694885254,21.296167373657227,15.499986,21.296167
22.0,24.0,649.8086,29.400002,23.138416,15.49998664855957,21.152219772338867,15.499987,21.15222
22.0,24.0,701.6351,29.599998,23.20991,15.499988555908203,20.872955322265625,15.499989,20.872955
22.0,24.0,703.0528,29.700005,23.265882,15.499988555908203,20.74241828918457,15.499989,20.742418
22.0,24.0,493.46774,29.800003,23.293333,15.499979019165039,20.560531616210938,15.499979,20.560532
22.0,24.0,89.94651,29.700005,23.192917,15.499921798706055,20.663986206054688,15.499922,20.663986
22.0,24.0,180.2524,29.599998,23.193062,15.499937057495117,20.53622817993164,15.499937,20.536228
22.0,24.0,474.87408,29.400002,23.261251,15.49997615814209,20.458784103393555,15.499976,20.458784
22.0,24.0,426.47385,29.099998,23.281267,15.499969482421875,20.30384063720703,15.4999695,20.30384
22.0,24.0,424.60446,28.699997,23.29729,15.499970436096191,20.28711700439453,15.49997,20.287117
22.0,24.0,269.35406,28.300003,23.261497,15.499945640563965,20.19891357421875,15.499946,20.198914
22.0,24.0,221.86665,27.699997,23.21558,15.4999361038208,20.254058837890625,15.499936,20.254059
22.0,24.0,126.70574,27.099998,23.145945,15.499898910522461,20.217235565185547,15.499899,20.217236
22.0,24.0,96.5028,26.199997,23.072395,15.499885559082031,20.313703536987305,15.499886,20.313704
22.0,24.0,53.955,25.400002,22.757618,10.000055313110352,22.172204971313477,10.000055,22.172205
22.0,24.0,38.445,25.400002,22.827015,10.000051498413086,22.245555877685547,10.0000515,22.245556
22.0,24.0,24.09,23.0,22.786755,10.000049591064453,22.376346588134766,10.00005,22.376347
22.0,24.0,11.385,21.7,22.791473,10.000045776367188,22.482608795166016,10.000046,22.482609
22.0,24.0,14.702731,20.400002,22.779713,10.000046730041504,22.559059143066406,10.000047,22.55906
15.0,28.0,0.0,19.3,22.75086,10.000042915344238,22.669822692871094,10.000043,22.669823
15.0,28.0,0.0,18.2,22.74702,10.000043869018555,22.728891372680664,10.000044,22.728891
15.0,28.0,0.0,17.3,22.713404,10.000041961669922,22.814483642578125,10.000042,22.814484
15.0,28.0,0.0,16.399998,22.649504,10.000041961669922,22.866390228271484,10.000042,22.86639
15.0,28.0,0.0,15.799999,22.57033,10.000040054321289,22.953235626220703,10.00004,22.953236
15.0,28.0,0.0,15.200001,22.499514,10.000041007995605,22.98613739013672,10.000041,22.986137
15.0,28.0,0.0,14.799999,22.423622,10.000039100646973,23.063026428222656,10.000039,23.063026
15.0,28.0,0.0,14.400002,22.359201,10.000060081481934,23.160888671875,10.00006,23.160889
15.0,28.0,0.0,14.200001,22.30442,10.000059127807617,23.239049911499023,10.000059,23.23905
15.0,28.0,0.0,13.899998,22.251446,10.00005054473877,23.253582000732422,10.000051,23.253582
15.0,28.0,0.0,13.800003,22.192345,10.000049591064453,23.323163986206055,10.00005,23.323164
15.0,28.0,0.0,13.699997,22.147484,10.000042915344238,23.33527374267578,10.000043,23.335274
15.0,28.0,0.0,13.600002,22.097734,10.000042915344238,23.393573760986328,10.000043,23.393574
15.0,28.0,0.0,13.5,22.059803,10.00003719329834,23.408620834350586,10.000037,23.40862
15.0,28.0,0.0,13.400002,22.01854,10.000036239624023,23.45745277404785,10.000036,23.457453
15.0,28.0,0.0,13.299999,21.986277,10.000032424926758,23.477209091186523,10.000032,23.47721
15.0,28.0,0.0,13.299999,21.953037,10.000032424926758,23.51582908630371,10.000032,23.51583
15.0,28.0,0.0,13.299999,21.92657,10.000028610229492,23.53822135925293,10.000029,23.538221
15.0,28.0,1.485,13.899998,21.905344,10.000028610229492,23.554229736328125,10.000029,23.55423
15.0,28.0,58.55608,14.599998,21.911076,10.000031471252441,23.523815155029297,10.000031,23.523815
22.0,24.0,23.925,15.799999,21.902699,10.000027656555176,23.520301818847656,10.000028,23.520302
22.0,24.0,119.0684,17.0,21.944744,10.000035285949707,23.43170166015625,10.000035,23.431702
22.0,24.0,118.36056,18.400002,21.973894,10.000035285949707,23.366432189941406,10.000035,23.366432
22.0,24.0,165.05334,19.8,22.265867,15.499933242797852,23.3475341796875,15.499933,23.347534
22.0,24.0,209.381,21.0,22.644875,15.499942779541016,23.091867446899414,15.499943,23.091867
22.0,24.0,297.12015,22.200005,22.761486,15.499958038330078,22.776363372802734,15.499958,22.776363
22.0,24.0,323.3945,23.2,22.848913,15.499961853027344,22.5900936126709,15.499962,22.590094
22.0,24.0,393.49542,24.099998,22.91358,15.499969482421875,22.275806427001953,15.4999695,22.275806
22.0,24.0,418.10742,25.0,22.92094,15.499972343444824,22.113758087158203,15.499972,22.113758
22.0,24.0,496.90625,25.900002,22.998173,15.499977111816406,21.782684326171875,15.499977,21.782684
22.0,24.0,508.5705,26.599998,22.992844,15.499979019165039,21.636199951171875,15.499979,21.6362
22.0,24.0,585.9484,27.300003,23.069622,15.499982833862305,21.319019317626953,15.499983,21.31902
22.0,24.0,626.01184,27.799995,23.070444,15.499984741210938,21.176189422607422,15.499985,21.17619
22.0,24.0,624.2818,28.300003,23.121452,15.499984741210938,20.909069061279297,15.499985,20.90907
22.0,24.0,616.1062,28.5,23.139824,15.499984741210938,20.804214477539062,15.499985,20.804214
22.0,24.0,571.00525,28.699997,23.194176,15.499981880187988,20.580730438232422,15.499982,20.58073
22.0,24.0,591.82025,28.699997,23.252787,15.499982833862305,20.496170043945312,15.499983,20.49617
22.0,24.0,478.3472,28.800003,23.277292,15.499974250793457,20.321016311645508,15.499974,20.321016
22.0,24.0,423.60562,28.900002,23.286686,15.499969482421875,20.29550552368164,15.4999695,20.295506
22.0,24.0,216.36865,28.900002,23.237852,15.499933242797852,20.21391487121582,15.499933,20.213915
22.0,24.0,227.3333,28.800003,23.209732,15.4999361038208,20.24117660522461,15.499936,20.241177
22.0,24.0,122.877495,28.599998,23.151035,15.499895095825195,20.186521530151367,15.499895,20.186522
22.0,24.0,129.81949,28.300003,23.101734,15.499897003173828,20.239337921142578,15.499897,20.239338
22.0,24.0,44.385,28.0,22.797508,10.000055313110352,22.107946395874023,10.000055,22.107946
22.0,24.0,52.59964,28.0,22.838585,10.000055313110352,22.143157958984375,10.000055,22.143158
22.0,24.0,21.12,26.900002,22.796612,10.000051498413086,22.267221450805664,10.0000515,22.267221
22.0,24.0,10.065,25.900002,22.81609,10.000048637390137,22.345386505126953,10.000049,22.345387
22.0,24.0,11.966495,24.899994,22.80425,10.000049591064453,22.404884338378906,10.00005,22.404884
15.0,28.0,0.0,24.0,22.783817,10.000045776367188,22.491146087646484,10.000046,22.491146
15.0,28.0,0.0,23.2,22.782452,10.00004768371582,22.533222198486328,10.000048,22.533222
15.0,28.0,0.0,22.799995,22.757483,10.000045776367188,22.59497833251953,10.000046,22.594978
15.0,28.0,0.0,22.399998,22.750347,10.00004768371582,22.614408493041992,10.000048,22.614408
15.0,28.0,0.0,22.099998,22.720463,10.000045776367188,22.667612075805664,10.000046,22.667612
15.0,28.0,0.0,21.8,22.71584,10.00004768371582,22.667226791381836,10.000048,22.667227
15.0,28.0,0.0,21.599998,22.680775,10.000046730041504,22.71307945251465,10.000047,22.71308
15.0,28.0,0.0,21.399998,22.665022,10.000064849853516,22.633180618286133,10.000065,22.63318
15.0,28.0,0.0,21.300003,22.607065,10.0000638961792,22.691301345825195,10.000064,22.691301
15.0,28.0,0.0,21.199997,22.578186,10.000055313110352,22.671537399291992,10.000055,22.671537
15.0,28.0,0.0,21.300003,22.53915,10.000054359436035,22.71343231201172,10.000054,22.713432
15.0,28.0,0.0,21.300003,22.513859,10.00004768371582,22.697078704833984,10.000048,22.697079
15.0,28.0,0.0,21.100002,22.48064,10.00004768371582,22.73763656616211,10.000048,22.737637
15.0,28.0,0.0,20.900002,22.457909,10.000041961669922,22.735210418701172,10.000042,22.73521
15.0,28.0,0.0,20.400002,22.427097,10.000041961669922,22.77992820739746,10.000042,22.779928
15.0,28.0,0.0,19.899998,22.402416,10.000038146972656,22.799463272094727,10.000038,22.799463
15.0,28.0,0.0,19.3,22.371544,10.00003719329834,22.848831176757812,10.000037,22.848831
15.0,28.0,0.0,18.600002,22.342789,10.00003433227539,22.890811920166016,10.000034,22.890812
15.0,28.0,2.145,18.5,22.314934,10.000033378601074,22.93054962158203,10.000033,22.93055
15.0,28.0,59.837944,18.3,22.308075,10.00003719329834,22.928478240966797,10.000037,22.928478
22.0,24.0,24.255,18.899998,22.282759,10.000033378601074,22.961803436279297,10.000033,22.961803
22.0,24.0,115.40873,19.400002,22.30399,10.000041007995605,22.90607452392578,10.000041,22.906075
