iteration,current_return,best_return_so_far,gap_to_best
1,-29.62423957143286,-29.62423957143286,0.0
2,-16.38251694114183,-16.38251694114183,0.0
3,-96.03818516983672,-16.38251694114183,79.65566822869489
4,-58.836329045885186,-16.38251694114183,42.453812104743356
5,-8.304830827820632,-8.304830827820632,0.0
6,-6.091416516665386,-6.091416516665386,0.0
7,-6.865379946620019,-6.091416516665386,0.773963429954633
8,-6.903348715401353,-6.091416516665386,0.8119321987359669
9,-6.180933466165157,-6.091416516665386,0.08951694949977096
10,-6.797819840220676,-6.091416516665386,0.70640332355529
11,-6.953628000857624,-6.091416516665386,0.8622114841922386
