time_end_s,T_zone_used_C,ahu_sat_sp_C,zone_temp_sp_C,T_zone_C,T_outdoor_C,T_ahu_supply_C,ahu_sat_sp_read_C,P_cooling_W,P_ahu_heating_W,P_reheat_W,P_supply_fan_W,P_return_fan_W,P_HVAC_W,E_HVAC_kWh_step
15812100,,15.25,23.0,23.85573696147235,29.175,15.24969531091349,15.25,35.05329587439398,0.0,0.0,36.68890896024713,52.58743617635421,124.32964101099532,0.03108241025274883
15813000,23.85573696147235,13.153444444392743,22.572131519263827,22.72015470003513,28.35,13.16591332085287,13.15344444439274,73.4871424597023,0.0,0.0,53.92450938421972,77.29179678404827,204.7034486279703,0.051175862156992574
15813900,22.72015470003513,15.935620984913928,23.139922649982434,23.12630747311879,27.525,15.29446301207893,15.93562098491393,38.32738331902659,0.0,0.0,41.60921558038672,59.63987566522096,139.57647456463425,0.03489411864115856
15814800,23.12630747311879,14.940546690858966,22.936846263440607,22.96233496624207,26.7,14.78801136635403,14.94054669085897,52.10190663119325,0.0,0.0,48.20759090742637,69.09754696731113,169.40704450593074,0.04235176112648269
15815700,22.96233496624207,15.342279332706923,23.018832516878966,23.01698235725505,26.275,14.81399054581429,15.34227933270692,35.26279524087266,0.0,0.0,39.86528716914469,57.14024494244072,132.26832735245807,0.03306708183811452
15816600,23.01698235725505,15.208393224725128,22.991508821372477,22.99411191287906,25.85,15.19704285021042,15.20839322472513,34.75213251530884,0.0,0.0,40.67091846330933,58.29498313074337,133.71803410936153,0.033429508527340376
15817500,22.99411191287906,15.264425813446303,23.00294404356047,23.00201613858569,25.425,15.43690965033857,15.2644258134463,33.04959002830434,0.0,0.0,39.47959606255082,56.5874210229895,129.11660711384465,0.03227915177846116
15818400,23.00201613858569,15.245060460465055,22.998991930707156,22.99898150769997,25.0,15.33686721901406,15.24506046046506,32.71485768534252,0.0,0.0,38.99930318386105,55.89900123020085,127.61316209940442,0.03190329052485111
15819300,22.99898150769997,15.252495306135074,23.000509246150017,23.00002516060713,24.85,15.3715017893756,15.25249530613507,32.24860391235688,0.0,0.0,38.48288646900713,55.15880393891022,125.89029432027422,0.03147257358006856
15820200,23.00002516060713,15.24993835651253,22.999987419696435,22.99950456681053,24.7,15.44923965010925,15.24993835651253,31.46818857405711,0.0,0.0,37.80287473803919,54.18412045785616,123.45518376995247,0.030863795942488118
15821100,22.99950456681053,15.251213811314203,23.000247716594735,22.99963182185967,24.55,15.42306055860306,15.2512138113142,30.91435783118032,0.0,0.0,37.34244335375276,53.52416880704563,121.78096999197871,0.030445242497994674
15822000,22.99963182185967,15.25090203644381,23.000184089070167,23.04830037127293,24.4,15.56581469124019,15.25090203644381,29.79663777326721,0.0,0.0,36.68890896024713,52.58743617635421,119.07298290986856,0.029768245727467137
15822900,23.04830037127293,15.13166409038132,22.975849814363535,22.98044962328548,24.275,14.87886590628241,15.13166409038132,31.15417918268941,0.0,0.0,37.19889733826077,53.31841951817377,121.67149603912395,0.030417874009780986
15823800,22.98044962328548,15.297898422950572,23.00977518835726,23.00730306446081,24.15,15.55156363766752,15.29789842295057,29.3048512171361,0.0,4.94564525655278,36.68890896024713,52.58743617635421,123.52684161029023,0.03088171040257256
15824700,23.00730306446081,15.232107492071014,22.996348467769593,22.99656041613261,24.025,15.2325854952635,15.23210749207101,29.591753690946,0.0,3.307600188222139,36.68890896024713,52.58743617635421,122.17569901576948,0.03054392475394237
15825600,22.99656041613261,15.258426980475106,23.001719791933695,23.00094720019146,23.9,15.25870319853413,15.25842698047511,29.3459549296028,0.0,9.63682144574615,36.68890896024713,52.58743617635421,128.2591215119503,0.03206478037798757
15826500,23.00094720019146,15.247679359530919,22.99952639990427,22.99923110697161,23.9,15.24788345898685,15.24767935953092,29.30168575258406,0.0,10.87980031965286,36.68890896024713,52.58743617635421,129.45783120883826,0.03236445780220956
15827400,22.99923110697161,15.251883787919553,23.000384446514197,22.99996342421651,23.9,15.25206061659047,15.25188378791955,29.23933560133986,0.0,13.88436820890843,36.68890896024713,52.58743617635421,132.40004894684964,0.033100012236712405
15828300,22.99996342421651,15.25008961066955,23.000018287891745,22.99970964690083,23.9,15.25027204668906,15.25008961066955,29.18637508720375,0.0,15.96059744753127,36.68890896024713,52.58743617635421,134.42331767133635,0.033605829417834084
15829200,22.99970964690083,15.250711365092968,23.000145176549587,22.99984847287375,23.9,15.25090702737945,15.25071136509297,29.12487818462011,0.0,18.2101655685194,36.68890896024713,52.58743617635421,136.61138888974085,0.034152847222435216
15830100,22.99984847287375,15.250371241459309,23.000075763563125,22.99982161536352,23.9,15.25056461859403,15.25037124145931,29.05848291403722,0.0,19.71296884262351,36.68890896024713,52.58743617635421,138.04779689326207,0.03451194922331552
15831000,22.99982161536352,15.250437042359376,23.000089192318242,22.99985954622327,23.9,15.25056963247198,15.25043704235938,29.01187959107517,0.0,21.40502459442787,36.68890896024713,52.58743617635421,139.69324932210438,0.0349233123305261
15831900,22.99985954622327,15.250344111752987,23.000070226888365,22.9998495764601,23.9,15.25037789417665,15.25034411175299,28.99817450379767,0.0,21.6850475075326,36.68890896024713,52.58743617635421,139.9595671479316,0.0349898917869829
15832800,22.9998495764601,15.250368537672752,23.00007521176995,22.9998472388209,23.9,15.25030089743673,15.25036853767275,29.01750585104348,0.0,21.35249110294141,36.68890896024713,52.58743617635421,139.64634209058624,0.03491158552264656
15833700,22.9998472388209,15.25037426488879,23.000076380589547,22.99978889832062,24.175,15.25017179427031,15.25037426488879,29.30555610886118,0.0,17.2453206281572,36.68890896024713,52.58743617635421,135.82722187361972,0.03395680546840493
15834600,22.99978889832062,15.25051719911448,23.00010555083969,22.99978191881941,24.45,15.2502922761948,15.25051719911448,29.60408120584776,0.0,15.45804316156639,36.68890896024713,52.58743617635421,134.33846950401548,0.03358461737600387
15835500,22.99978191881941,15.250534298892449,23.000109040590296,22.9997643027936,24.725,15.25036344910911,15.25053429889245,29.88767824938468,0.0,14.2175832920443,36.68890896024713,52.58743617635421,133.38160667803032,0.03334540166950758
15836400,22.9997643027936,15.250577458155677,23.0001178486032,22.99975540106202,25.0,15.25048745584942,15.25057745815568,30.1460439078773,0.0,13.01970326849471,36.68890896024713,52.58743617635421,132.44209231297336,0.03311052307824334
15837300,22.99975540106202,15.250599267398048,23.00012229946899,22.99967705770059,25.55,15.25051624191487,15.25059926739805,30.62608310895069,0.0,6.296409135126538,36.68890896024713,52.58743617635421,126.19883738067858,0.031549709345169645
15838200,22.99967705770059,15.25079120863355,23.000161471149703,22.99967276757957,26.1,15.25065862265818,15.25079120863355,31.1308851935167,0.0,2.911053022004467,36.68890896024713,52.58743617635421,123.3182833521225,0.030829570838030628
15839100,22.99967276757957,15.250801719430058,23.000163616210216,22.99963966975212,26.65,15.2505907026151,15.25080171943006,31.6726014543983,0.0,0.0,36.68890896024713,52.58743617635421,120.94894659099964,0.03023723664774991
15840000,22.99963966975212,15.250882809107303,23.00018016512394,22.99963163216242,27.2,15.25060398811385,15.2508828091073,32.2484852311815,0.0,0.0,36.68890896024713,52.58743617635421,121.52483036778284,0.030381207591945708
15840900,22.99963163216242,15.250902501202072,23.00018418391879,23.0005011053598,27.625,14.69677604103518,15.25090250120207,43.63556990233217,0.0,0.0,40.29923822763698,57.76224145961301,141.69704958958215,0.03542426239739554
15841800,23.0005011053598,15.248772291868491,22.9997494473201,23.00031466409369,28.05,15.15642735461442,15.24877229186849,47.72945515453861,0.0,0.0,42.06582709918519,60.29435217549877,150.08963442922257,0.03752240860730564
15842700,23.00031466409369,15.24922907297046,22.999842667953153,23.00015031395696,28.475,15.17365799464919,15.24922907297046,53.72788939195029,0.0,0.0,43.20403241535354,61.92577979534007,158.8577016026439,0.039714425400660974
15843600,23.00015031395696,15.249631730805444,22.999924843021518,22.99988023465045,28.9,15.22050758016652,15.24963173080544,59.12244349736149,0.0,0.0,43.75932925862591,62.72170527069714,165.60347802668454,0.041400869506671135
15844500,22.99988023465045,15.250293425106394,23.000059882674776,22.99967606934539,29.325,15.10701586278877,15.25029342510639,79.29390773586336,0.0,0.0,49.50003694321924,70.95005295194757,199.74399763103014,0.04993599940775754
15845400,22.99967606934539,15.250793630103791,23.000161965327305,22.99966084583719,29.75,15.23386607076926,15.25079363010379,87.82032680575556,0.0,0.0,52.62686760898931,75.43184357288469,215.87903798762954,0.05396975949690739
