iteration,current_return,best_return_so_far,gap_to_best
1,-5.608594144445353,-5.608594144445353,0.0
2,-5.54706186466506,-5.54706186466506,0.0
3,-4.196199932789899,-4.196199932789899,0.0
4,-3.712415283691716,-3.712415283691716,0.0
5,-3.872749419844475,-3.712415283691716,0.16033413615275904
6,-3.816540779409638,-3.712415283691716,0.10412549571792207
7,-3.7862519880133934,-3.712415283691716,0.07383670432167744
8,-3.963935858788951,-3.712415283691716,0.2515205750972349
9,-3.913162907185504,-3.712415283691716,0.20074762349378794
10,-3.908118852489598,-3.712415283691716,0.1957035687978821
11,-4.013417145015608,-3.712415283691716,0.30100186132389206
