row_index,time_hour_start,time_hour_end,dt_seconds,T_env_start,T_zone_start,T_cor_state_start,T_out_state_start,Qsg_state_start,Qint_state_start,hour_sin_start,hour_cos_start,SAT_sp_requested,ZAT_sp_requested,SAT_sp,ZAT_sp,integral_error_start,prev_zat_sp_start,damper_signal_prev_start,m_fan_start,T_cor_used,T_out_used,Qsg_used,Qint_used,Hour_used,T_env_end,T_zone_end,integral_error_end,prev_zat_sp_end,damper_signal_end,m_fan_end,Mode,ReheatSignal_end,Q_reheat_end_W,reward,done,TotalEnergy_kWh,CoolingEnergy_kWh,HeatingEnergy_kWh,ReheatEnergy_kWh,FanEnergy_kWh,ComfortPeriod,ComfortLB,ComfortUB,TempExceed_degC,T_env_end_normalized,T_zone_end_normalized
12,17670,17670.5,1800,21.2855682373,21.2417373657,24,21.7000007629,55.7261962891,50,1,0,16,20,16,20,3751.30679308,19.0249099731,100,0.317974642857,24,22.4,22.77,50,6,21.3377367049,21.4582533342,2628.10899759,20,66.1046063597,0.237630478643,cooling,0,0,-0.000690468470971,False,0.0414281082582,0.0171745734424,0,0,0.0242535348158,night,15,28,0,0.323935329914,0.496788710356
13,17670.5,17671,1800,21.3377361298,21.4582538605,24,22.3999977112,22.7700004578,50,1,0,16,20,16,20,2628.10899759,20,66.1046063597,0.237630478643,24,23,117.7942964,50,7,21.3926316037,21.2830096275,4342.70550541,20,100,0.317974642857,cooling,0,0,-0.0285421429344,False,0.0993002379253,0.0290945316773,0,0,0.070205706248,day,22,24,0.716990372507,0.325503766537,0.483308434486
14,17671,17671.5,1800,21.3926315308,21.2830085754,24,23,117.794296265,50,0.965925812721,-0.258819043636,16,20,16,20,4342.70550541,20,100,0.317974642857,24,24,65.67801958,50,7,21.4285953534,21.2025161187,4342.70550541,20,100,0.317974642857,cooling,0,0,-0.0317469417315,False,0.110477770901,0.0280487145376,0,0,0.0824290563639,day,22,24,0.797483881328,0.326531291008,0.47711661458
15,17671.5,17672,1800,21.4285964966,21.2025165558,24,24,65.678024292,50,0.965925812721,-0.258819043636,15.9549388885,24.5820922852,15.9549388885,24.5820922852,4342.70550541,20,100,0.317974642857,24,25,177.4316214,180,8,21.6658326648,22.9555796479,0,24.5820922852,0,0.080939,heating,0.569322680288,170.796804086,-0.00231805690737,False,0.139083414442,0.00549036922419,0,0.12529311016,0.00829993505753,day,22,24,0,0.33330950141,0.611967682838
16,17672,17672.5,1800,21.6658325195,22.9555797577,24,25,177.431625366,180,0.866025447845,-0.5,15.9549388885,24.5820922852,15.9549388885,24.5820922852,0,24.5820922852,0,0.080939,24,26,129.2898191,180,8,21.9625013759,23.1308519993,0,24.5820922852,0,0.080939,heating,0.492227918012,147.668375404,-0.00166435054035,False,0.0998610324211,0.00556854662533,0,0.0859925507382,0.00829993505753,day,22,24,0,0.341785758734,0.625450134277
17,17672.5,17673,1800,21.9625015259,23.1308517456,24,26,129.289825439,180,0.866025447845,-0.5,15.9549388885,24.5820922852,15.9549388885,24.5820922852,0,24.5820922852,0,0.080939,24,27,333.23752,180,9,22.3110647749,23.5487139467,0,24.5820922852,0,0.080939,heating,0.357030085013,107.109025504,-0.00136034918824,False,0.0816209512944,0.00518397336434,0,0.0681370428725,0.00829993505753,day,22,24,0,0.351744711399,0.657593369484
18,17673,17673.5,1800,22.3110656738,23.5487136841,24,27,333.237518311,180,0.70710682869,-0.707106769085,15.9549388885,24.5820922852,15.9549388885,24.5820922852,0,24.5820922852,0,0.080939,24,27.6,329.361975,180,9,22.6495743182,23.729233716,0,24.5820922852,0,0.080939,heating,0.293724039352,88.1172118056,-0.00110618702995,False,0.0663712217973,0.00497118482005,0,0.0531001019197,0.00829993505753,day,22,24,0,0.361416399479,0.671479523182
19,17673.5,17674,1800,22.6495742798,23.7292327881,24,27.6000061035,329.361968994,180,0.70710682869,-0.707106769085,14.5,26,14.5,26,0,24.5820922852,0,0.080939,24,28.3,502.1707031,180,10,23.0393094891,24.3078614485,0,26,0,0.080939,heating,0.579471554237,173.841466271,-0.0135814503274,False,0.122198760526,0.00557336201926,0,0.108325463449,0.00829993505753,day,22,24,0.307861448496,0.372551709414,0.715989351273
20,17674,17674.5,1800,23.0393104553,24.3078613281,24,28.3000030518,502.170715332,180,0.5,-0.866025388241,14.5,26,14.5,26,0,26,0,0.080939,24,28.7,518.8843589,180,10,23.4235471405,24.543720698,0,26,0,0.080939,heating,0.496519820298,148.955946089,-0.0220859336156,False,0.101784446516,0.00544289740082,0,0.0880416140573,0.00829993505753,day,22,24,0.543720697964,0.383529931307,0.734132349491
21,17674.5,17675,1800,23.4235477448,24.5437202454,24,28.6999969482,518.884399414,180,0.5,-0.866025388241,16,20,16,20,0,26,0,0.080939,24,29.2,632.8191194,180,11,23.6844544001,23.4561969996,2630.92748156,20,100,0.317974642857,cooling,0,0,-0.0015752653033,False,0.0945159181983,0.0212920183667,0,0,0.0732238998316,day,22,24,0,0.390984416008,0.650476694107
