iteration,current_return,best_return_so_far,gap_to_best
1,-4.872653064003528,-4.872653064003528,0.0
2,-3.2277802774736544,-3.2277802774736544,0.0
3,-5.66859020095394,-3.2277802774736544,2.4408099234802854
4,-3.427824896565284,-3.2277802774736544,0.20004461909162963
5,-3.956006753444058,-3.2277802774736544,0.7282264759704038
6,-3.759576324533752,-3.2277802774736544,0.5317960470600975
7,-3.5607173773567076,-3.2277802774736544,0.3329370998830532
8,-3.417645261209213,-3.2277802774736544,0.18986498373555882
9,-3.1864343624957043,-3.1864343624957043,0.0
10,-3.9481073737981744,-3.1864343624957043,0.7616730113024701
11,-3.20143774226209,-3.1864343624957043,0.01500337976638555
