iteration,current_return,best_return_so_far,gap_to_best
1,-4.911848121173211,-4.911848121173211,0.0
2,-4.635578720846064,-4.635578720846064,0.0
3,-3.664528778339102,-3.664528778339102,0.0
4,-3.653721194208497,-3.653721194208497,0.0
5,-3.427560129278229,-3.427560129278229,0.0
6,-3.385288470095655,-3.385288470095655,0.0
7,-3.543858605143555,-3.385288470095655,0.15857013504790007
8,-3.6639074595318295,-3.385288470095655,0.2786189894361746
9,-3.519107606157473,-3.385288470095655,0.13381913606181817
10,-3.5034754753344606,-3.385288470095655,0.11818700523880565
11,-3.6813635711782142,-3.385288470095655,0.2960751010825593
