iteration,current_return,best_return_so_far,gap_to_best
1,-65.51760639856317,-65.51760639856317,0.0
2,-12.6905384277361,-12.6905384277361,0.0
3,-14.65668880988258,-12.6905384277361,1.9661503821464787
4,-36.59929657611442,-12.6905384277361,23.90875814837832
5,-21.436399116048385,-12.6905384277361,8.745860688312284
6,-8.87455527011457,-8.87455527011457,0.0
7,-6.148523817331458,-6.148523817331458,0.0
8,-7.9812387246567145,-6.148523817331458,1.8327149073252569
9,-6.13628619709357,-6.13628619709357,0.0
10,-5.508439201245862,-5.508439201245862,0.0
11,-4.774397072602369,-4.774397072602369,0.0
