group,seed,num_iterations,initial_return,final_return,best_return,mean_return,std_return,worst_return,mean_gap_to_best,max_gap_to_best,std_gap_to_best,num_large_drops_gap_gt_1,num_large_drops_gap_gt_2
full_ddpg_adaptation,0,11,-5.10271310224201,-3.221383852113737,-3.129596351005881,-3.52926791417989,0.5705968843974791,-5.10271310224201,0.15193896684472774,0.6700974831556565,0.2138113872459635,0,0
full_ddpg_adaptation,1,11,-4.9676571598221,-3.6874707663441897,-3.592372830232855,-4.143101259982654,0.5798110920351202,-5.3166114202809,0.24052851172481154,1.253922111891435,0.3669630505888159,1,0
full_ddpg_adaptation,2,11,-4.056630228843355,-3.852047723612393,-3.7612332369430006,-4.126777413826434,0.5397458753124745,-5.595488428864306,0.30727977388667693,1.8342551919213057,0.5345918403049005,1,0
full_ddpg_adaptation,3,11,-4.806422102040826,-3.9711031024910537,-3.87068066510783,-4.173395927519833,0.3166213656868135,-4.806422102040826,0.03819812329284575,0.13279565284833783,0.05539922769945527,0,0
full_ddpg_adaptation,4,11,-5.524329740530956,-4.059216275194133,-4.059216275194133,-4.530976311171954,0.5331697838798907,-5.524329740530956,0.06849063762000386,0.6434793174455731,0.191607242791525,0,0
full_ddpg_adaptation,5,11,-5.608594144445353,-4.013417145015608,-3.712415283691716,-4.212586197849018,0.6868809785593495,-5.608594144445353,0.11702454226410505,0.30100186132389206,0.11127580597884125,0,0
full_ddpg_adaptation,6,11,-5.042311184227517,-4.045911815745348,-3.5532322408461345,-3.9271052578760677,0.4364513127615742,-5.042311184227517,0.07491068698440446,0.49267957489921343,0.14743991412553262,0,0
full_ddpg_adaptation,7,11,-4.8283414501485975,-3.5950463356977465,-3.5108509489396207,-3.927276436904762,0.40779216648901284,-4.8283414501485975,0.04668652174712868,0.21177637262381754,0.07343586109232146,0,0
full_ddpg_adaptation,8,11,-4.872653064003528,-3.20143774226209,-3.1864343624957043,-3.8387976030996454,0.7795963520780408,-5.66859020095394,0.47275959457180766,2.4408099234802854,0.7127019358316701,1,1
full_ddpg_adaptation,9,11,-4.911848121173211,-3.6813635711782142,-3.385288470095655,-3.7809307392078453,0.504566806021731,-4.911848121173211,0.08957003335156889,0.2960751010825593,0.11578364489323535,0,0
vanilla_ddpg_adaptation,0,11,-89.10383719494384,-95.9968267448984,-89.10383719494384,-95.38221394011863,2.082317879189372,-96.0256846906829,6.278376745174794,6.921847495739058,2.0823178791893726,10,10
vanilla_ddpg_adaptation,1,11,-89.09883197175327,-14.230231955252194,-14.216627149615972,-46.219913775668466,39.26828486158462,-96.03124868253353,1.890969193598913,6.9324167107802595,3.2289673729177943,3,3
vanilla_ddpg_adaptation,2,11,-65.51760639856317,-4.774397072602369,-4.774397072602369,-17.302179055580837,18.562024089210357,-65.51760639856317,3.3139531023783944,23.90875814837832,7.311212278557932,4,2
vanilla_ddpg_adaptation,3,11,-29.62423957143286,-6.953628000857624,-6.091416516665386,-22.634420731095226,29.20475048462678,-96.03818516983672,11.395773429034195,79.65566822869489,25.925586110152977,2,2
vanilla_ddpg_adaptation,4,11,-89.10591122426675,-12.696520245093845,-12.040723207877297,-58.365131995540125,37.345438377474295,-96.03173200436412,11.57713393933881,63.704745318015455,20.922982120012332,6,5
vanilla_ddpg_adaptation,5,11,-13.427735425153653,-14.222668515408891,-13.427735425153653,-18.21893921599681,11.661667394082345,-52.92368155762119,4.791203790843156,39.49594613246754,11.661667394082345,2,2
vanilla_ddpg_adaptation,6,11,-58.3905739384449,-10.858391245387306,-10.163970873127653,-15.602616998063025,14.2049422312875,-58.3905739384449,0.9461187132359258,2.121615869018447,0.8185452056193246,6,1
vanilla_ddpg_adaptation,7,11,-57.46134788403731,-10.431787886886145,-10.431787886886145,-15.661528082932245,13.878990292142804,-57.46134788403731,0.2672021720440279,1.0362357956506543,0.37113449728636555,1,0
vanilla_ddpg_adaptation,8,11,-27.464842046107364,-4.923347481945076,-4.923347481945076,-10.691047986541015,6.968756756166759,-27.464842046107364,0.6127250859108357,6.739975945019193,2.03217920960452,1,1
vanilla_ddpg_adaptation,9,11,-96.37524957890362,-96.01896158413906,-87.0236058243336,-96.12522344266299,3.599537861717701,-100.96133360084832,6.551169321628469,9.002667135755729,3.6768210609384506,9,9
