metric,mean,std,median,min,max,ci95_low,ci95_high
initial_return,-61.55701752336067,29.869202488224346,-61.95409016850404,-96.37524957890362,-13.427735425153653,-82.92415779967607,-40.189877247045274
final_return,-27.110676073247088,36.47410588958007,-11.777455745240577,-96.01896158413906,-4.774397072602369,-53.202679611108174,-1.0186725353860027
best_return,-25.2197448633151,33.293159325392836,-11.23625554738172,-89.10383719494384,-4.774397072602369,-49.03623630890496,-1.4032534177252352
mean_return,-39.62032152241994,33.215677990135276,-20.426679973546015,-96.12522344266299,-10.691047986541015,-63.38138615974812,-15.85925688509177
std_return,17.677671022748253,13.355827516594687,14.041966261715153,2.082317879189372,39.26828486158462,8.123487573563146,27.23185447193336
worst_return,-74.68462359730395,25.522705059538033,-80.77164554462303,-100.96133360084832,-27.464842046107364,-92.94246692114802,-56.42678027345988
mean_gap_to_best,4.7624625493187525,4.193575431089155,4.0525784466107755,0.2672021720440279,11.57713393933881,1.7625594039060961,7.762365694731409
max_gap_to_best,23.951987677951955,27.94025789442859,7.967541923267994,1.0362357956506543,79.65566822869489,3.9647312380772313,43.939244117826675
std_gap_to_best,7.803141312836142,8.96712616188795,3.4528942169281223,0.37113449728636555,25.925586110152977,1.38844568606088,14.217836939611404
num_large_drops_gap_gt_1,4.4,3.238655413730965,3.5,1.0,10.0,2.0832054836710303,6.716794516328971
num_large_drops_gap_gt_2,3.5,3.4399612400917157,2.0,0.0,10.0,1.0391999705681774,5.960800029431823
