metric,full_mean,full_std,ablation_mean,ablation_std,mean_diff_full_minus_ablation,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,cohen_dz
final_return,-3.732839832965451,0.3200537786848802,-27.110676073247088,36.47410588958007,23.377836240281642,2.01919206133288,0.07421874957301428,0.0,0.001953125,0.6385245947142305
best_return,-3.5761320664552527,0.2916798665502817,-25.2197448633151,33.293159325392836,21.643612796859845,2.045735942874514,0.07110251166677765,0.0,0.001953125,0.6469185070755572
mean_return,-4.01902150616181,0.2781478022343553,-39.62032152241994,33.215677990135276,35.60130001625812,3.3791219550263745,0.008138305392060572,0.0,0.001953125,1.0685721869364402
worst_return,-5.240524989490761,0.34249054369383747,-74.68462359730395,25.522705059538033,69.44409860781319,8.55348243849817,1.2920888445839528e-05,0.0,0.001953125,2.7048486431905316
mean_gap_to_best,0.16073873922880805,0.1399012851096606,4.7624625493187525,4.193575431089155,-4.601723810089944,-3.415098031453276,0.007687330104507227,0.0,0.001953125,-1.0799488212149706
max_gap_to_best,0.8276892590672077,0.7738968273499883,23.951987677951955,27.94025789442859,-23.124298418884745,-2.5951694078766887,0.02896682068289526,0.0,0.001953125,-0.8206646242880853
std_gap_to_best,0.2523009910552261,0.2186457549224254,7.803141312836142,8.96712616188795,-7.550840321780915,-2.642455632032532,0.026805653892053926,0.0,0.001953125,-0.8356178413162592
num_large_drops_gap_gt_1,0.3,0.4830458915396479,4.4,3.238655413730965,-4.1,-3.7619780637706883,0.0044713593296623125,0.0,0.00390625,-1.1896419189105543
num_large_drops_gap_gt_2,0.1,0.31622776601683794,3.5,3.4399612400917157,-3.4,-3.0424049299866573,0.013963451496507994,0.0,0.0078125,-0.9620929143282949
