metric,mean,std,median,min,max,ci95_low,ci95_high
initial_return,-4.972150029747745,0.42580801089973547,-4.939752640497655,-5.608594144445353,-4.056630228843355,-5.276754730970029,-4.667545328525461
final_return,-3.732839832965451,0.3200537786848802,-3.7697592449782915,-4.059216275194133,-3.20143774226209,-3.961792513835344,-3.503887152095558
best_return,-3.5761320664552527,0.2916798665502817,-3.572802535539495,-4.059216275194133,-3.129596351005881,-3.784787273329754,-3.3674768595807514
mean_return,-4.01902150616181,0.2781478022343553,-4.027026925365599,-4.530976311171954,-3.52926791417989,-4.2179964573756346,-3.8200465549479845
std_return,0.5355232617221486,0.13362576187274114,0.5364578295961826,0.3166213656868135,0.7795963520780408,0.4399331501485298,0.6311133732957673
worst_return,-5.240524989490761,0.34249054369383747,-5.209662261261455,-5.66859020095394,-4.806422102040826,-5.485527965157849,-4.995522013823673
mean_gap_to_best,0.16073873922880805,0.1399012851096606,0.10329728780783698,0.03819812329284575,0.47275959457180766,0.06065938876896865,0.26081808968864745
max_gap_to_best,0.8276892590672077,0.7738968273499883,0.5680794461723933,0.13279565284833783,2.4408099234802854,0.27407681909992765,1.3813016990344877
std_gap_to_best,0.2523009910552261,0.2186457549224254,0.1695235784585288,0.05539922769945527,0.7127019358316701,0.095891240306435,0.4087107418040171
num_large_drops_gap_gt_1,0.3,0.4830458915396479,0.0,0.0,1.0,-0.04555021442218171,0.6455502144221816
num_large_drops_gap_gt_2,0.1,0.31622776601683794,0.0,0.0,1.0,-0.12621571628540987,0.3262157162854099
